Band,Origin,Years Active,Page Title,Summary,
,,,,,
of Montreal,Athens,1996–present,of Montreal,"<p class=""mw-empty-elt"">
</p>
<p><b>Of Montreal</b> is an American indie pop band from Athens, Georgia. It was founded by frontperson Kevin Barnes in 1996, named after a failed romance between Barnes and a woman ""of Montreal"". The band is identified as part of the Elephant 6 collective. Throughout its existence, of Montreal's musical style has evolved considerably and drawn inspiration from 1960s psychedelic pop acts.
</p>",
,,,,,
Stars,,2000–present,Stars (Canadian band),"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>Stars</b> is a Canadian indie pop/rock band based in Montreal, Quebec. Since forming in 2000, they have released nine albums and a number of EPs. Their music has been nominated for two Juno Awards and two Polaris Music Prizes.
</p>",
,,,,,
Simple Minds,Glasgow,1977–present,Simple Minds,"<p class=""mw-empty-elt"">

</p>
<p><b>Simple Minds</b> are a Scottish rock band formed in Glasgow in 1977. They have released a string of hit singles, becoming best known internationally for ""Don't You (Forget About Me)"" (1985), which topped the <i>Billboard</i> Hot 100 in the United States. Other commercially successful singles include ""Glittering Prize"" (1982), ""Someone Somewhere in Summertime"" (1982), ""Waterfront"" (1983) and ""Alive and Kicking"" (1985), as well as the UK number one single ""Belfast Child"" (1989).
</p><p>Simple Minds have achieved five UK Albums chart number one albums, <i>Sparkle in the Rain</i> (1984), <i>Once Upon a Time</i> (1985), <i>Live in the City of Light</i> (1987), <i>Street Fighting Years</i> (1989) and <i>Glittering Prize 81/92</i> (1992); they have sold more than 60 million albums. They were the most commercially successful Scottish band of the 1980s. Simple Minds have also achieved considerable chart success in the United States, Australia, Germany, Spain, Italy and New Zealand. Despite various personnel changes, they continue to record and tour.
</p><p>In 2014, Simple Minds were awarded the Q Inspiration Award for their contribution to the music industry and an Ivor Novello Award in 2016 for Outstanding Song Collection from the British Academy of Songwriters, Composers, and Authors. Other notable recognitions include nominations for both the MTV Video Music Award for Best Direction and MTV Video Music Award for Best Art Direction for ""Don't You (Forget About Me)"" in 1985, nomination for the Brit Award for British Group in 1986 and for the American Music Award for Favorite Pop/Rock Band/Duo/Group in 1987. ""Belfast Child"" was nominated for the Song of the Year at the 1990 Brit Awards.
</p><p>The nucleus of Simple Minds consists of the two remaining original members, Jim Kerr (vocals) and Charlie Burchill (electric &amp; acoustic guitars, occasional keyboards after 1990, saxophone and violin). The other current band members are Ged Grimes (bass guitar),  Cherisse Osei (drums), Sarah Brown (backing vocals), Gordy Goudie (additional guitar &amp; keyboards) and Berenice Scott (keyboards). Notable former members include Mick MacNeil (keyboards), Derek Forbes (bass), Brian McGee &amp; Mel Gaynor (drums).</p>",
,,,,,
The Lumineers,{{hlist,2005–present,The Lumineers,"<p class=""mw-empty-elt"">

</p>

<p><b>The Lumineers</b> are an American alternative folk band based in Denver, Colorado. The founding members are Wesley Schultz (lead vocals, guitar) and Jeremiah Fraites (drums, percussion, piano). Schultz and Fraites began writing and performing together in Ramsey, New Jersey, in 2005. Cellist and vocalist Neyla Pekarek joined the band in 2010, and was a member until 2018. The Lumineers emerged as one of the most popular folk-rock/Americana artists during the revival of those genres, their popularity growing in the 2010s. The band's stripped back raw sound draws heavily from artists that influenced Schultz and Fraites such as Bruce Springsteen, Bob Dylan and Tom Petty. They are known for their energetic live shows and several international hit singles, including ""Ho Hey"", ""Stubborn Love"", ""Ophelia"", ""Angela"" and ""Cleopatra"". The band has become one of the top touring bands in the United States and is also popular in other countries.</p><p>The Lumineers have released four albums on American independent label Dualtone Records (Dine Alone in Canada and Decca/Universal worldwide). Their self-titled first album was released in 2012 and peaked at No. 2 on the U.S. <i>Billboard</i> 200. It has been certified triple platinum in the U.S. and Canada, platinum in the UK and Ireland, and gold in Australia. Their second album, <i>Cleopatra</i>, was released in 2016 and debuted at No. 1 on the <i>Billboard</i> 200, and also on the Canadian and British album charts. It is currently certified platinum in the U.S. Their third album, titled <i>III</i>, was released on September 13, 2019 and debuted at No. 2 on the <i>Billboard</i> 200. Their fourth album, <i>Brightside</i>, was released on January 14, 2022. The Lumineers have publicly campaigned to ban mobile phones at their concerts, providing a locking pouch for people to hold their phones in during live performances.</p>",
,,,,,
Yes,London,,Yes (band),"<p class=""mw-empty-elt"">


</p>
<p><b>Yes</b> are  an English progressive rock band formed in London in 1968 by lead singer and frontman Jon Anderson, bassist Chris Squire, guitarist Peter Banks, keyboardist Tony Kaye, and drummer Bill Bruford. The band has undergone numerous line-up changes throughout their history, during which 20 musicians have been full-time members. Since February 2023, the band has consisted of guitarist Steve Howe, keyboardist Geoff Downes, bassist Billy Sherwood, singer Jon Davison, and drummer Jay Schellen. Yes have explored several musical styles over the years and are most notably regarded as progressive rock pioneers.
</p><p>Yes began performing original songs and rearranged covers of rock, pop, blues and jazz songs, as evidenced on their self-titled first album from 1969, and its follow-up <i>Time and a Word</i> from 1970. A change of direction later in 1970 led to a series of successful progressive rock albums, with four consecutive U.S. platinum or multi-platinum sellers in <i>The Yes Album</i> (1971), <i>Fragile</i> (1971), <i>Close to the Edge</i> (1972) and the live album <i>Yessongs</i> (1973). Further albums, <i>Tales from Topographic Oceans</i> (1973), <i>Relayer</i> (1974), <i>Going for the One</i> (1977) and <i>Tormato</i> (1978), were also commercially successful. Yes toured as a major rock act that earned the band a reputation for their elaborate stage sets, light displays, and album covers designed by Roger Dean. The success of ""Roundabout"", the single from <i>Fragile</i>, cemented their popularity across the decade and beyond. Anderson and Squire remained with the group throughout the 1970s, with Banks, Kaye, and Bruford all departing across 1970–1972, and being replaced by Howe, Rick Wakeman, and Alan White, respectively. Wakeman would leave the group in 1974, but returned two years later, with Patrick Moraz taking his place in the interim. After a final album, <i>Drama</i>, and tour in 1980, both of which saw Downes and Trevor Horn replace Wakeman and Anderson, respectively, Yes disbanded in 1981.
</p><p>In 1983, Squire and White reformed Yes, with Anderson and Kaye returning, and guitarist Trevor Rabin joining. Rabin's songwriting helped move the band toward a more mainstream rock style. The result was <i>90125</i> (1983), their highest-selling album, featuring the U.S. number-one single ""Owner of a Lonely Heart"". Its follow-up, <i>Big Generator</i> (1987), was also successful. From 1991 to 1992, Yes were an eight-member formation after they merged with spinoff Anderson Bruford Wakeman Howe for <i>Union</i> (1991) and its tour. From 1994 to 2004, Yes regularly released albums with varied levels of success. After a four-year hiatus, they resumed touring in 2008 and have released three new albums; their most recent is <i>The Quest</i> (2021). Throughout the long history of Yes, current and former members have often collaborated outside of the official band context; most recently, the group Yes Featuring Jon Anderson, Trevor Rabin, Rick Wakeman toured from 2016 to 2018. Among the longest serving members of the band, Squire died in 2015, and White died in 2022.
</p><p>Yes are one of the most successful, influential, and longest-lasting progressive rock bands. They have sold 13.5 million RIAA-certified albums in the U.S., as well as more than 30 million albums worldwide. In 1985, they won a Grammy Award for Best Rock Instrumental Performance with ""Cinema"", and received five Grammy nominations between 1985 and 1992. They were ranked No. 94 on VH1's <i>100 Greatest Artists of Hard Rock</i>. Their discography spans 22 studio albums. In April 2017, Yes were inducted into the Rock and Roll Hall of Fame, which chose to induct current and former members Anderson, Squire, Bruford, Kaye, Howe, Wakeman, White, and Rabin.
</p>


",
,,,,,
Sugababes,London,1998–present,Sugababes,"<p class=""mw-empty-elt"">

</p>
<p><b>Sugababes</b> are a British girl group composed of Mutya Buena, Keisha Buchanan and Siobhán Donaghy. The lineup changed three times before returning to the original lineup in 2012.
</p><p>Formed in 1998 by All Saints manager Ron Tom, Sugababes released their debut album <i>One Touch</i> through London Records in November 2000, which achieved moderate success and produced the top-ten single ""Overload"". In 2001, Donaghy departed the group and was replaced by Heidi Range. With Range's introduction, the group experienced a higher level of commercial success and went on to release three multi-platinum albums: <i>Angels with Dirty Faces</i> (2002), <i>Three</i> (2003) and <i>Taller in More Ways</i> (2005). In December 2005, Buena left the group and was replaced by Amelle Berrabah. Following the release of their first greatest hits album, the new line-up released two further studio albums: <i>Change</i> (2007) and <i>Catfights and Spotlights</i> (2008).
</p><p>In September 2009, after 11 years in Sugababes, Buchanan, the final original member, was replaced by Jade Ewen. Range, Berrabah and Ewen released the group's seventh studio album, <i>Sweet 7</i> (2010), after which they signed to RCA Records, before taking an indefinite hiatus in 2011. That year, the original lineup reformed as <b>Mutya Keisha Siobhan</b> and released the single ""Flatline"". The trio regained the name Sugababes in 2019, and recorded a rendition of the song ""Flowers"" with DJ Spoony. In 2021, the Sugababes re-released <i>One Touch</i> in honour of its 20th anniversary, with plans for new music. In 2022, they appeared at various festivals before embarking on a headline tour and released <i>The Lost Tapes</i>, an album consisting of previously unreleased material.
</p><p>Sugababes have achieved six number-one singles: ""Freak like Me"", ""Round Round"", ""Hole in the Head"", ""Push the Button"", ""Walk This Way"" and ""About You Now""; the Spice Girls are the only British girl group to have had more. They have also released five UK top ten albums, four of which were certified Platinum in the UK, and have been nominated for six Brit Awards, winning for Best British Dance Act in 2003. They have been a long-term fixture in the British tabloids due to their several line-up changes and alleged group infighting.
</p>


",
,,,,,
Def Leppard,Sheffield,1976–present,Def Leppard,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">

</p>
<p><b>Def Leppard</b> are an English rock band formed in 1976 in Sheffield. Since 1992, the band has consisted of Rick Savage (bass, backing vocals), Joe Elliott (lead vocals), Rick Allen (drums), Phil Collen (guitar, backing vocals), and Vivian Campbell (guitar, backing vocals). They established themselves as part of the new wave of British heavy metal movement of the early 1980s.
</p><p>The band's greatest commercial success came between the early 1980s and the early 1990s. Their first album, 1980's <i>On Through the Night</i>, reached the Top 15 in the UK but received little notice elsewhere.  Their second album, 1981's <i>High 'n' Dry</i>, was produced by Mutt Lange, who helped them begin to define their melodic hard rock style, and the album's most popular track ""Bringin' On the Heartbreak"" became one of the first rock videos played on MTV in 1982, but the album only reached the Top 30 and 40 in the UK and US. Def Leppard's next studio album, <i>Pyromania</i>, was released in January 1983, with ""Photograph"" and ""Rock of Ages"" both topping the US Rock Tracks chart and reaching the top 20 of the Hot 100. Reaching No. 2 on the US album chart, <i>Pyromania</i> was certified Diamond in the US and 7× platinum in Canada and reached the top 20 in the UK but did not sell much elsewhere.
</p><p>Def Leppard's fourth album, the more pop-oriented <i>Hysteria</i> (1987), topped the UK, US, New Zealand, Canadian, Australian and Norway charts. It also went to No. 2 in Sweden and No. 10 in Germany without any Top 50 singles in those countries. It has been certified 12× platinum for sales in the US and 13× platinum in Canada, selling over 25 million copies worldwide, making it one of the best-selling albums of all time. The album spawned six Top 20 US singles, including the US <i>Billboard</i> Hot 100 No. 1 ""Love Bites"" (went Top 10 in several other countries including No. 2 in NZ), alongside ""Pour Some Sugar on Me"" (US No. 2), ""Hysteria"", ""Armageddon It"" (No. 2 in NZ), ""Animal"" (at No. 6, the biggest UK hit), and ""Rocket"" (a Top 15 hit in many countries). <i>Hysteria</i> had four Top 10 hits in New Zealand.
</p><p>Their next studio album, <i>Adrenalize</i> (their first following the death of guitarist Steve Clark), reached No. 1 on the UK, US, NZ, Canadian and Australian charts in 1992, while going Top 10 in Sweden and Germany. It contained several hits, including the US Rock Tracks chart-topper, ""Let's Get Rocked"", which became their biggest hit in several countries, including No. 2 in the UK, No. 3 in Canada and Switzerland, and the Top 20 in Sweden and Germany. The third single, ""Have You Ever Needed Someone So Bad"", was a Top 15 song in the US, UK and Canada. <i>Adrenalize</i> went on to sell over eight million copies worldwide. Their 1993 album, <i>Retro Active</i>, contained the acoustic Top 5 North American hit ""Two Steps Behind"". Their greatest hits album <i>Vault</i>, released in 1995, featured the UK No. 2 hit ""When Love &amp; Hate Collide"" and reached the Top 10 in several countries, going 5× platinum in the US.  Beginning with <i>Slang</i>, Def Leppard released five albums between 1996 and 2008, with most usually reaching the Top 15 in several countries, including the UK, US and Canada.  Their self-titled album was released in 2015 and reached the Top 10 in several countries. The band's newest studio album, <i>Diamond Star Halos</i> was released in May 2022 and reached the Top 10 in the US, the UK and Australia.
</p><p>As one of the world's best-selling music artists, Def Leppard have sold more than 100 million records worldwide, and have two albums with RIAA diamond certification: <i>Pyromania</i> and <i>Hysteria</i>, making them one of only five rock bands with two original studio albums selling more than 10 million copies in the US. The band were ranked No. 31 in VH1's ""100 Greatest Artists of Hard Rock"" and ranked No. 70 in ""100 Greatest Artists of All Time"". Def Leppard were inducted into the Rock and Roll Hall of Fame in 2019.</p>",
,,,,,
UNKLE,London,1992–present,Unkle,"<p class=""mw-empty-elt"">

</p>
<p><b>Unkle</b> (often stylised as <b>U.N.K.L.E.</b> or <b>UNKLE</b>, occasionally known as <b>UNKLE Sounds</b>) is a British musical outfit founded in 1992 by James Lavelle. Originally categorised as trip hop, the group once included producer DJ Shadow and have employed a variety of guest artists and producers.
</p>",
,,,,,
Alien Ant Farm,Riverside,1996–present,Alien Ant Farm,"<p class=""mw-empty-elt"">
</p>
<p><b>Alien Ant Farm</b> is an American rock band that formed in Riverside, California in 1996. They have released five studio albums and sold over 5 million units worldwide. The band's cover of Michael Jackson's ""Smooth Criminal"" topped the <i>Billboard</i> Alternative songs charts in 2001, and was featured in the film <i>American Pie 2</i>.
</p><p>They released their debut album <i>Greatest Hits</i> independently in 1999, then signed to DreamWorks Records in 2000. Their second album <i>ANThology</i> was released in 2001 and has been certified platinum by the RIAA, selling over one million copies and reaching number 11 on the <i>Billboard</i> 200. Following up that was their third album, <i>TruANT</i>, released in 2003. The album was produced by brothers Robert and Dean DeLeo of Stone Temple Pilots, and made it to number 42 on the <i>Billboard</i> 200. In 2005 the band recorded their next album <i>3rd Draft</i>, however its release was denied by the label after Geffen bought out DreamWorks. It was eventually released in 2006 as <i>Up in the Attic</i>, charting at number 114 on the <i>Billboard</i> 200. After several years of sporadic touring, the band's fifth studio album <i>Always and Forever</i> was released in February 2015.
</p>",
,,,,,
Mudvayne,Peoria,,Mudvayne,"<p class=""mw-empty-elt"">
</p>

<p class=""mw-empty-elt"">
</p>
<p><b>Mudvayne</b> is an American heavy metal band formed in Peoria, Illinois in 1996. Known for their sonic experimentation, face and body paint, masks and uniforms, the band has sold over six million records worldwide, including nearly three million in the United States. The group consists of guitarist Greg Tribbett, drummer Matthew McDonough, lead vocalist Chad Gray, and bassist Ryan Martinie. The band became popular in the late-1990s Peoria, Illinois underground music scene, and found success with the single ""Dig"" from their debut album <i>L.D. 50</i> (2000). After releasing four more albums and touring relentlessly for nearly a decade, Mudvayne went on hiatus in 2010. They reunited in 2021 and continue to perform live.</p>


",
,,,,,
Yo La Tengo,Hoboken,1984–present,Yo La Tengo,"<p><b>Yo La Tengo</b> (<b>YLT</b>; Spanish for ""I've got it"") is an American indie rock band formed in Hoboken, New Jersey, in 1984. Since 1992, the lineup has consisted of Ira Kaplan (guitars, piano, vocals), Georgia Hubley (drums, piano, vocals), and James McNew (bass, vocals). In 2015, original guitarist Dave Schramm rejoined the band and appears on their fourteenth album, <i>Stuff Like That There</i>.
</p><p>Despite achieving limited mainstream success, Yo La Tengo has been called ""the quintessential critics' band"" and maintains a strong cult following. Though they mostly play original material, the band performs a wide repertoire of cover songs both in live performance and on record.</p>


",
,,,,,
alt-J,Leeds,2007,Alt-J,"<p class=""mw-empty-elt"">

</p>
<p><b>Alt-J</b> (stylised as <b>alt-J</b>, real name <b>Δ</b>) are an English indie rock band formed in 2007 in Leeds. Their lineup includes Joe Newman (guitar/lead vocals), Thom Sonny Green (drums), Gus Unger-Hamilton (keyboards/vocals), and formerly Gwilym Sainsbury (guitar/bass). 
</p><p>Their debut album <i>An Awesome Wave</i> was released in May 2012 in Europe, and in September 2012 in the United States, and won the 2012 British Mercury Prize. Sainsbury left the band in early 2014. Their second album, <i>This Is All Yours</i>, was released on 22 September 2014 and went straight to number one in the United Kingdom. In February 2022 the band released their fourth studio album <i>The Dream</i>.</p>",
,,,,,
Chevelle,Grayslake,1995–present,Chevelle (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Chevelle</b> is an American rock band formed in Grayslake, Illinois, in 1995. The band was originally composed of two brothers, Pete Loeffler (lead vocals and guitar) and Sam Loeffler (drums and percussion), along with Matt Scott (bass and backing vocals). Scott was replaced by Sam and Pete's brother, Joe Loeffler, in 1996. When Joe left the band in 2005, Geno Lenardo subbed in as the touring bassist until he was replaced by Pete and Sam's brother-in-law, Dean Bernardini. Bernardini departed from the band in 2019, and in 2021, Kemble Walters joined the band as a touring bassist.
</p><p>The band's first studio album, <i>Point #1</i>, was released on a small record label called Squint Entertainment. Chevelle's second album, <i>Wonder What's Next</i> (2002), was certified double platinum by the RIAA after a debut at No. 14 on the United States albums chart, <i>Billboard</i> 200. <i>This Type of Thinking (Could Do Us In)</i> (2004), the band's third album debuted at No. 8 and has been certified platinum. Chevelle has since released six more albums: <i>Vena Sera</i> (2007), <i>Sci-Fi Crimes</i> (2009), <i>Hats Off to the Bull</i> (2011), <i>La Gárgola</i> (2014), <i>The North Corridor</i> (2016), and their latest <i>NIRATIAS</i> (2021). Other releases from Chevelle include two live albums, two DVDs, and two compilation albums. As of 2022 the band has sold over 6 million records.
</p>",
,,,,,
Lamb,Manchester,"1996–2004, 2009–present",Lamb (electronic band),"<p class=""mw-empty-elt"">

</p>
<p><b>Lamb</b> are an English electronic music duo from Manchester, whose music is influenced by trip hop, drum and bass and jazz. The duo consist of producer Andy Barlow and singer-songwriter Lou Rhodes. They achieved commercial success with the hit singles ""Górecki"" and ""Gabriel"".
</p>",
,,,,,
New Found Glory,Coral Springs,1997–present,New Found Glory,"<p class=""mw-empty-elt"">
</p>
<p><b>New Found Glory</b> (formerly <b> A New Found Glory</b>) is an American rock band from Coral Springs, Florida, formed in 1997. The band currently consists of Jordan Pundik (lead vocals), Ian Grushka (bass guitar), Chad Gilbert (lead guitar, backing vocals), and Cyrus Bolooki (drums). Longtime rhythm guitarist and lyricist Steve Klein left the band in late 2013. During their lengthy recording career, the band have released ten studio albums, one live album, two EPs, and four cover albums.
</p><p>After forming in 1997, New Found Glory released their debut studio album <i>Nothing Gold Can Stay</i> in 1999. The band then released their self-titled major label debut in 2000, with the album's song ""Hit or Miss"" peaking at number 15 the Alternative Songs chart. In 2002, the band became mainstream with their album <i>Sticks and Stones</i> and the album's hit ""My Friends Over You"". The group's popularity continued with their 2004 album <i>Catalyst</i>, of which the video for ""All Downhill From Here"" was nominated for a VMA for Breakthrough Video of the Year. Lead by single ""It's Not Your Fault"", the mid-tempo and critically acclaimed <i>Coming Home</i> followed in 2006. The release showcased a temporary move to an alternative rock style instead of their usual pop punk sound. The quintet returned to their energetic roots with the release of <i>Not Without a Fight</i> in 2009. They have since released four more albums; <i>Radiosurgery</i> in 2011, <i>Resurrection</i> in 2014, <i>Makes Me Sick</i> in 2017, and their tenth studio album <i>Forever + Ever x Infinity</i> in 2020.</p><p>Emerging as part of the second wave of pop punk in the late 1990s, music critics consider them a key pioneer of the genre. Often labelled the ""godfathers of pop punk"", AllMusic notes how their ""raucous, fast-paced anthems carried them through the decades"", whilst crediting them for ""practically serving alongside the work of Blink-182 as the blueprint to the entire genre for the early 2000s."" <i>Rock Sound</i> have championed their ""classic sugar sweet sound"", which combines ""pop-punk and hardcore in one neat package."" <i>Alternative Press</i> have praised the group for their ""innovative and entirely irresistible fusion of punk melodies and hardcore breakdowns."" As such, the band are considered highly influential in the development of the subgenre easycore.</p>",
,,,,,
The Allman Brothers Band,,1969–1976|1978–1982|1989–2014,The Allman Brothers Band,"<p class=""mw-empty-elt"">
</p>
<p><b>The Allman Brothers Band</b> was an American rock band formed in Jacksonville, Florida in 1969 by brothers Duane Allman (founder, slide guitar and lead guitar) and Gregg Allman (vocals, keyboards, songwriting), as well as Dickey Betts (lead guitar, vocals, songwriting), Berry Oakley (bass), Butch Trucks (drums), and Jai Johanny ""Jaimoe"" Johanson (drums). Subsequently based in Macon, Georgia, they incorporated elements of blues, jazz, and country music, and their live shows featured jam band-style improvisation and instrumentals.
</p><p>Their first two studio releases, <i>The Allman Brothers Band</i> (1969) and <i>Idlewild South</i> (1970) (both released by Capricorn Records), stalled commercially, but their 1971 live release <i>At Fillmore East</i> was an artistic and commercial breakthrough. It features extended versions of their songs ""In Memory of Elizabeth Reed"" and ""Whipping Post"", showcasing the group's jamming style.
</p><p>Group leader Duane Allman was killed in a motorcycle accident later that year – on October 29, 1971 – and the band dedicated <i>Eat a Peach</i> (1972) to his memory, a dual studio/live album that cemented the band's popularity and featured Gregg Allman's ""Melissa"" and Dickey Betts's ""Blue Sky"". Following the motorcycling death of bassist Berry Oakley one year and 13 days later on November 11, 1972, the group recruited keyboardist Chuck Leavell and bassist Lamar Williams for 1973's <i>Brothers and Sisters.</i> The album included Betts's hit single ""Ramblin' Man"" and instrumental ""Jessica"", which went on to become classic rock radio staples and placed the group at the forefront of 1970s rock music. Internal turmoil overtook them soon after; the group dissolved in 1976, reformed briefly at the end of the decade with additional personnel changes, and dissolved again in 1982.
</p><p>The band re-formed once more in 1989, releasing a string of new albums and touring heavily. A series of personnel changes in the late 1990s was capped by the departure of Betts. The group found stability during the 2000s with bassist Oteil Burbridge and guitarists Warren Haynes and Derek Trucks (the nephew of their original drummer) and became renowned for their month-long string of shows at New York City's Beacon Theatre each spring. The band retired for good in October 2014 after their final show at the Beacon Theatre.
</p><p>Butch Trucks died of a self-inflicted gunshot wound on January 24, 2017 in West Palm Beach, Florida at the age of 69. Gregg Allman died from complications arising from liver cancer on May 27, 2017 at his home in Georgia, also at 69. The band was awarded seven gold and four platinum albums, and was inducted into the Rock and Roll Hall of Fame in 1995. <i>Rolling Stone</i> ranked them 52nd on their list of the 100 Greatest Artists of All Time in 2004.</p>


",
,,,,,
Bring Me the Horizon,Sheffield,2004–present,Bring Me the Horizon,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">


</p>
<p><b>Bring Me the Horizon</b> (often abbreviated as <b>BMTH</b>) are  a British rock band, formed in Sheffield in 2004. The group currently consists of lead vocalist Oliver Sykes, guitarist Lee Malia, bassist Matt Kean, drummer Matt Nicholls and keyboardist Jordan Fish. They are signed to RCA Records globally and Columbia Records exclusively in the United States.
</p><p>The band released their debut album <i>Count Your Blessings</i> in 2006. Upon release, the album's deathcore sound polarised listeners, and was largely met with critical disdain. The band began to break away from this sound with their second album <i>Suicide Season</i> (2008), which was considered a creative, critical and commercial turning point for the band. Bring Me the Horizon released their third album, <i>There Is a Hell Believe Me I've Seen It. There Is a Heaven Let's Keep It a Secret.</i>, in 2010, propelling them to greater international fame, whilst incorporating influences from classical music, electronica and pop. Their major label debut, <i>Sempiternal</i>, (2013) achieved Gold certification in Australia (35,000) and Silver in the United Kingdom (60,000). <i>That's the Spirit</i> (2015) debuted at number two in the UK Albums Chart and the US <i>Billboard</i> 200. Their sixth studio album <i>Amo</i> (2019) became their first UK chart-topper. The same year, the band also put out the commercial release, <i>Music to Listen To...</i> (2019). The following year, the band released <i>Post Human: Survival Horror</i> (2020), the first in a planned series of four projects under the <i>Post Human</i> name. The band have also released two extended plays and two live albums. They have received four <i>Kerrang!</i> Awards, including two for Best British Band and one for Best Live Band, and have been nominated for two Grammy Awards. The band has sold over 4 million records worldwide, and have topped the UK Rock &amp; Metal Singles Chart with songs such as ""Throne"", ""Drown, ""Mantra"" and ""Parasite Eve"".</p><p>The style of their early work, including their debut album <i>Count Your Blessings</i>, has been described primarily as deathcore, but over the course of several albums, the band has shifted its style and moved in a more melodically-oriented direction by combining their approach to metalcore with elements of electronica, pop and hip hop.</p>


",
,,,,,
NOFX,Los Angeles,1983–present,NOFX,"<p class=""mw-empty-elt"">
</p>

<p><b>NOFX</b> (<span></span>) is an American punk rock band formed in Los Angeles, California in 1983. Vocalist/bassist Fat Mike, guitarist Eric Melvin and drummer Erik Sandin are original founding and longest-serving members of the band, who have appeared on every release of the band, although Sandin departed briefly in 1985, only to rejoin the following year. El Hefe joined the band in 1991 to play lead guitar and trumpet, rounding out the current line-up.
</p><p>NOFX's mainstream success coincided with increased interest in punk rock during the 1990s, though, unlike many of their contemporaries they have never been signed to a major label. NOFX has released fifteen studio albums, sixteen extended plays and a number of 7-inch singles. The band rose to popularity with their fifth studio album <i>Punk in Drublic</i> (1994), which is their only release to receive gold certification by the RIAA. Their latest studio album, <i>Double Album</i>, was released on December 2, 2022. The group has sold over eight million records worldwide, making them one of the most successful independent bands. In 2008, NOFX broadcast their own show on Fuse TV entitled <i>NOFX: Backstage Passport</i>.</p>",
,,,,,
Manic Street Preachers,Blackwood,1986–present,Manic Street Preachers,"<p class=""mw-empty-elt"">

</p>
<p><b>Manic Street Preachers</b>, also known simply as <b>the Manics</b>, are a Welsh rock band formed in Blackwood in 1986. The band consists of cousins James Dean Bradfield (lead vocals, lead guitar) and Sean Moore (drums, percussion, soundscapes), plus Nicky Wire (bass guitar, lyrics). They form a key part of the 1990s Welsh Cool Cymru cultural movement.
</p><p>Following the release of their debut single ""Suicide Alley"", Manic Street Preachers were joined by Richey Edwards as co-lyricist and rhythm guitarist, the band became as a quartet. The band's early albums were in a punk vein, eventually broadening to a greater alternative rock sound, whilst retaining a leftist political outlook. Their early combination of androgynous glam imagery and lyrics about ""culture, alienation, boredom and despair"" gained them a loyal following.</p><p>Manic Street Preachers released their debut album, <i>Generation Terrorists</i>, in February 1992, followed by <i>Gold Against The Soul</i> in 1993 and <i>The Holy Bible</i> in 1994. Edwards disappeared in February 1995 and was legally presumed dead in 2008. The band continued as a trio, and achieved commercial success with the albums <i>Everything Must Go</i> (1996) and <i>This Is My Truth Tell Me Yours</i> (1998).
</p><p>The Manics have headlined festivals including Glastonbury, T in the Park, V Festival and Reading. They have won eleven NME Awards, eight Q Awards and four BRIT Awards. They were nominated for the Mercury Prize in 1996 and 1999, and have had one nomination for the MTV Europe Music Awards. They have reached number 1 in the UK charts four times: in 1998, with <i>This Is My Truth Tell Me Yours</i> and the single ""If You Tolerate This Your Children Will Be Next"", in 2000 with the single ""The Masses Against the Classes"", and in 2021 with <i>The Ultra Vivid Lament</i>. They have sold more than ten million albums worldwide.</p>

",
,,,,,
Cascada,Bonn,2004–present,Cascada,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>Cascada</b> (<span></span>, Spanish for ""Waterfall"", stylized as <b>CASCADA</b>, <b>CASC<i>A</i>DA</b> and <b>cascada</b>) is a German dance music act founded in 2004 by singer Natalie Horler and DJs/producers DJ Manian and DJ Yanou. They are best known for their hit singles ""Everytime We Touch"", ""What Hurts the Most"", ""Evacuate the Dancefloor"", and ""Miracle"". Cascada represented Germany at the Eurovision Song Contest 2013 in Malmö, Sweden with ""Glorious"".
While being one of the most successful acts of the dance music genre itself, Cascada was named as the 3rd most successful German act of the 21st century.</p><p>In 2010, Cascada's music was the second most downloaded of all time in the dance category after David Guetta.</p><p>In 2018, Cascada had more than a billion views on YouTube including over 100 million views for their hit ""Everytime We Touch"".</p>

",
,,,,,
