Artist,Type,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
Cassie,artist,Casandra Elizabeth Ventura,1986|08|26,New London,2004–present,,Cassie Ventura,"<p class=""mw-empty-elt"">

</p>
<p><b>Casandra Elizabeth Ventura</b> (born August 26, 1986), known professionally as <b>Cassie</b>, is an American singer, songwriter, model, actress and dancer. Born in New London, Connecticut, she began her career as a result of meeting record producer Ryan Leslie in late 2004, who later signed her to NextSelection Lifestyle Group. During this time, Diddy heard ""Me &amp; U"" in a club, and Leslie convinced him to partner his Bad Boy Records with Leslie's NextSelection imprint for the release of her debut album.</p><p>Cassie's self titled debut studio album was released in August 2006, peaking at number four on the <i>Billboard</i> 200 chart and features the <i>Billboard</i> Hot 100 top three hit ""Me &amp; U"". In 2008, Cassie released the single ""Official Girl"" (featuring Lil Wayne). In 2009, she released the singles ""Must Be Love"" (featuring Diddy), and ""Let's Get Crazy"" (featuring Akon), and signed a record deal with Interscope Records. In April 2013, Cassie released her debut mixtape <i>RockaByeBaby</i>, which was promoted with the music videos of ""Numb"" (featuring Rick Ross) and ""Paradise"" (featuring Wiz Khalifa).
</p><p>Apart from music, Cassie is signed to modeling agency Wilhelmina Models and One Management. Cassie has modeled for Calvin Klein one and has been featured in magazines including <i>GQ</i> and <i>Bust</i> and becoming the face of ASOS 2013 spring collection, Cassie has appeared in adverts for Delia's, Adidas, Abercrombie &amp; Fitch, Seventeen, and a commercial for Clean and Clear. Cassie has also ventured into acting; she made her film debut in <i>Step Up 2: The Streets</i> (2008).
</p>

"
Luther Vandross,artist,Luther Ronzoni Vandross Jr.,1951|4|20,Manhattan,1969–2004,Vocals,Luther Vandross,"<p class=""mw-empty-elt"">
</p>

<p><b>Luther Ronzoni Vandross Jr.</b> (April 20, 1951 – July 1, 2005) was an American singer, songwriter, and record producer. Known for his sweet and soulful vocals, Vandross has sold over 40 million records worldwide. He achieved eleven consecutive Platinum albums and eight Grammy Awards, including Best Male R&amp;B Vocal Performance four different times. In 2004, Vandross won a total of four Grammy Awards, including the Grammy Award for Song of the Year for a song recorded not long before his death, ""Dance with My Father"".</p><p>Vandross worked as a backing vocalist in the 1970s, and appeared on albums by artists such as Roberta Flack, Donny Hathaway, Todd Rundgren, Judy Collins, Chaka Khan, Bette Midler, Diana Ross, David Bowie, Ben E. King, Stevie Wonder, and Donna Summer. He later became a lead singer of the group Change, which released its Gold-certified debut album, <i>The Glow of Love</i>, in 1980 on Warner/RFC Records. After Vandross left the group, he was signed to Epic Records as a solo artist and released his debut solo album, <i>Never Too Much</i>, in 1981.
</p><p>His hit songs include ""Never Too Much"", ""Here and Now"", ""Any Love"", ""Power of Love/Love Power"", ""I Can Make It Better"" and ""For You to Love"". Many of his songs were covers of original music by other artists such as ""If This World Were Mine"" (duet with Cheryl Lynn), ""Since I Lost My Baby"", ""Superstar"", ""I (Who Have Nothing)"" and ""Always and Forever"". Duets such as ""The Closer I Get to You"" with Beyoncé, ""Endless Love"" with Mariah Carey and ""The Best Things in Life Are Free"" with Janet Jackson were all hit songs in his career.
</p>"
Édith Piaf,artist,Édith Giovanna Gassion,1915|12|19,Paris,1935–1963,,Édith Piaf,"<p class=""mw-empty-elt"">

</p>

<p><b>Édith Piaf</b> (<span><small>UK: </small></span>, <span><small>US: </small></span>, <small>French: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""fr-Latn-fonipa"">[edit pjaf]</span> <span></span>; born <b>Édith Giovanna Gassion</b>, <small>French: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""fr-Latn-fonipa"">[edit dʒɔvana ɡasjɔ̃]</span>; December 19, 1915<span> </span>– October 10, 1963) was a French singer, lyricist and actress. Noted as France's national chanteuse, she was one of the country's most widely known international stars.</p><p>Piaf's music was often autobiographical, and she specialized in chanson réaliste and torch ballads about love, loss and sorrow. Her most widely known songs include ""La Vie en rose"" (1946), ""Non, je ne regrette rien"" (1960), ""Hymne à l'amour"" (1949), ""Milord"" (1959), ""La Foule"" (1957), ""L'Accordéoniste"" (1940), and ""Padam, padam..."" (1951).
</p><p>Since her death in 1963, several biographies and films have studied her life, including 2007's <i>La Vie en rose</i>. Piaf has become one of the most celebrated performers of the 20th century.</p>"
Basshunter,artist,Jonas Erik Altberg,1984|12|22,Halmstad,2001,Vocals|programming,Basshunter,"<p class=""mw-empty-elt"">
</p>
<p><b>Jonas Erik Altberg</b> (<small>Swedish pronunciation: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""sv-Latn-fonipa"">[ˈjûːnas ˈêːrɪk ˈâltbærj]</span>; born 22 December 1984), known professionally as <b>Basshunter</b>, is a Swedish singer, record producer, songwriter and DJ.
</p><p>Basshunter has recorded five studio albums: <i>The Bassmachine</i> (2004), <i>LOL</i> (2006), <i>Now You're Gone – The Album</i> (2008), <i>Bass Generation</i> (2009), and <i>Calling Time</i> (2013). In addition to his own music, he has written for El Capon, Mange Makers, and Lana Scolaro. He has taken part in the seventh series of the British reality television show <i>Celebrity Big Brother</i>, episodes of the Swedish game show <i>Fångarna på fortet</i>, and an episode of the British television quiz show <i>Weakest Link</i>.
</p><p>Basshunter has won awards such as a European Border Breakers Award (2008), a Musikförläggarnas pris in category Newcomer of the Year (2006), and a Telia award for Best Ringtone of the Year (2007). He was also nominated for a BT Digital Music Award, an MTV Europe Music Award, and a Rockbjörnen among others. According to <i>Svenska Dagbladet</i> figures published in 2009, more than 3 million Basshunter records have been sold.</p>"
Nena,artist,Gabriele Susanne Kerner,1960|3|24,Hagen,1979–present,,Nena,"<p class=""mw-empty-elt"">
</p>

<p><b>Gabriele Susanne Kerner</b> (born 24 March 1960), better known by her stage name <b>Nena</b>, is a German singer and songwriter who rose to international fame in 1983 as the lead vocalist of the band Nena with the Neue Deutsche Welle song ""99 Luftballons"". In that same year, the band re-recorded this song in English as ""99 Red Balloons"". Nena's re-recording of some of the band's old hit songs as a solo artist, produced by the co-composer of most of them, her former Nena band colleague and keyboard player Uwe Fahrenkrog-Petersen, rekindled her solo career in 2002. Combined with the success of the Nena band years, she has sold over 25 million records, making her the most successful German pop singer in chart history.</p>"
John Frusciante,artist,John Anthony Frusciante,1970|03|05,New York City,1988–present,"* Guitar
* vocals
* keyboards",John Frusciante,"<p class=""mw-empty-elt"">
</p>

<p><b>John Anthony Frusciante</b> (<span> <span></span></span>; born March 5, 1970) is an American musician, best known as the guitarist for the Red Hot Chili Peppers across three stints since 1988. He has released 11 solo albums and 7 EPs, ranging in style from acoustic guitar to electronic music.
</p><p>Frusciante joined the Chili Peppers at the age of 18 after the death of guitarist Hillel Slovak, and first appeared on their album <i>Mother's Milk</i> (1989). His second album with the band, <i>Blood Sugar Sex Magik</i> (1991), was their breakthrough success. Overwhelmed by the band's newfound popularity, he quit in 1992. He became a recluse and entered a period of heroin addiction, during which he released his first solo recordings: <i>Niandra LaDes and Usually Just a T-Shirt</i> (1994) and <i>Smile from the Streets You Hold</i> (1997). In 1998, he completed drug rehabilitation and rejoined the Chili Peppers, taking them to major success with their albums <i>Californication</i> (1999), <i>By the Way</i> (2002), and <i>Stadium Arcadium</i> (2006).
</p><p>Frusciante's solo work encompasses genres including experimental rock, ambient music, and electronica. He released six albums in 2004, each exploring different genres and recording techniques. In 2009, Frusciante released <i>The Empyrean</i>, which features Chili Peppers bassist Flea and guitarist Josh Klinghoffer and again parted ways with the Chilli Peppers before rejoining them in 2019. Frusciante also releases acid house under the alias <b>Trickfinger</b>. With Klinghoffer and Joe Lally, he has released two albums as Ataxia.
</p><p>In 2003, <i>Rolling Stone</i> named Frusciante the 13th-greatest guitarist of all time. He was inducted into the Rock and Roll Hall of Fame as a member of the Red Hot Chili Peppers in 2012.
</p>"
St Germain,artist,,1969|4|10,Boulogne-Billancourt,1991–present,{{Birth date and age|df =y|1969|4|10,St Germain (musician),"<p><b>Ludovic Navarre</b> (<small>French pronunciation: ​</small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""fr-Latn-fonipa"">[lydɔvik navaʁ]</span>, born 10 April 1969), known by his stage name <b>St Germain</b>, is a French musician. His style has been described as being a combination of house and nu jazz music.</p>

"
Charles Mingus,artist,Charles Mingus Jr.,1922|4|22,Nogales,1943–1979,"Double bass, piano",Charles Mingus,"<p class=""mw-empty-elt"">
</p>

<p><b>Charles Mingus Jr.</b> (April 22, 1922 – January 5, 1979) was an American jazz upright bassist, pianist, composer, bandleader, and author. A major proponent of collective improvisation, he is considered to be one of the greatest jazz musicians and composers in history, with a career spanning three decades and collaborations with other jazz musicians such as Louis Armstrong, Duke Ellington, Charlie Parker, Dizzy Gillespie, and Herbie Hancock. Mingus's work ranged from advanced bebop and avant-garde jazz with small and midsize ensembles – pioneering the post-bop style on seminal recordings like <i>Pithecanthropus Erectus</i> (1956) and <i>Mingus Ah Um</i> (1959) – to progressive big band experiments such as <i>The Black Saint and the Sinner Lady</i> (1963).
</p><p>Mingus's compositions continue to be played by contemporary musicians ranging from the repertory bands Mingus Big Band, Mingus Dynasty, and Mingus Orchestra, to the high school students who play the charts and compete in the Charles Mingus High School Competition. In 1993, the Library of Congress acquired Mingus's collected papers—including scores, sound recordings, correspondence and photos—in what they described as ""the most important acquisition of a manuscript collection relating to jazz in the Library's history"".</p>"
Little Boots,artist,Victoria Christina Hesketh,1984|05|04,Blackpool,2005–present,"*Vocals
*piano
*keyboards
*synthesizer
*[[Tenori-on]]
*[[Stylophone]]",Little Boots,"<p class=""mw-empty-elt"">

</p>

<p><b>Victoria Christina Hesketh</b> (born 4 May 1984), better known by her stage name <b>Little Boots</b>, is an English electropop singer-songwriter and DJ. She was previously a member of the band Dead Disco. Since performing as a solo artist she has released three albums, <i>Hands</i> (2009), <i>Nocturnes</i> (2013) and <i>Working Girl</i> (2015) and a number of associated EPs and remixes. Hesketh has toured internationally both as a DJ-only act as well as with a full band. <i>Hands</i> reached number five on the UK Albums Chart and the singles ""New in Town"" and ""Remedy"" became top twenty hits.
</p>"
Carla Bruni,artist,Carla Gilberta Bruni Tedeschi,1967|12|23,Turin,"2002–2008, 2013–Present",,Carla Bruni,"<p class=""mw-empty-elt"">
</p>
<p><b>Carla Bruni-Sarkozy</b> (born <b>Carla Gilberta Bruni Tedeschi</b>; <small>Italian pronunciation: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""it-Latn-fonipa"">[ˈkarla dʒilˈbɛrta ˈbruːni teˈdeski]</span>; 23 December 1967) is an Italian-born French naturalized singer and fashion model. In 2008, she married Nicolas Sarkozy, then president of France.
</p><p>Bruni was born in Italy and moved to France at the age of seven. She was a model from 1987 to 1997 before taking up a career in music. She wrote several songs for Julien Clerc that were featured on his 2000 album, <i>Si j'étais elle</i>. Bruni released her first album, <i>Quelqu'un m'a dit</i>, in 2003, which eventually spent 34 weeks in the top 10 of the French Albums Chart. Bruni won the Victoire Award for Female Artist of the Year at the 2004 Victoires de la Musique. The same year, Bruni released her second album, <i>No Promises</i>, then the following year, she released her third album, <i>Comme si de rien n'était.</i> In 2013, Bruni released her fourth album, <i>Little French Songs</i>. In 2017, Bruni released her fifth album, <i>French Touch</i>. She has sold 5 million albums during her career.
</p><p>In 2009, she created the Carla Bruni-Sarkozy Foundation for philanthropic efforts.
</p>"
Stan Getz,artist,Stanley Getz,1927|2|2,Philadelphia,1943–1991,Stanley Getz,Stan Getz,"<p class=""mw-empty-elt"">
</p>

<p><b>Stanley Getz</b> (February 2, 1927 – June 6, 1991) was an American jazz saxophonist. Playing primarily the tenor saxophone, Getz was known as ""The Sound"" because of his warm, lyrical tone, with his prime influence being the wispy, mellow timbre of his idol, Lester Young. Coming to prominence in the late 1940s with Woody Herman's big band, Getz is described by critic Scott Yanow as ""one of the all-time great tenor saxophonists"". Getz performed in bebop and cool jazz groups. Influenced by João Gilberto and Antônio Carlos Jobim, he also helped popularize bossa nova in the United States with the hit 1964 single ""The Girl from Ipanema"".
</p>"
Keyshia Cole,artist,Keyshia Myeshia Johnson,1981|10|15,Oakland,2004-present,Vocals,Keyshia Cole,"<p class=""mw-empty-elt"">
</p>
<p><b>Keyshia Myeshia Cole</b> (née <b>Johnson</b>; born October 15, 1981) is an American singer, songwriter, and television personality. Born and raised in Oakland, California, Cole began her career as a backing vocalist for MC Hammer. After signing with A&amp;M Records, she released her debut studio album, <i>The Way It Is</i> in 2005. The album was certified platinum by the Recording Industry Association of America (RIAA) and garnered two nominations at the 2006 Soul Train Music Awards. Cole starred in the BET reality television series <i>Keyshia Cole: The Way It Is</i> (2006–2008), which became one of the most-watched programs in the network's history. 
</p><p>In 2007, Cole released her second studio album, <i>Just Like You</i>, which spawned three number-one R&amp;B singles — ""Let It Go"" (featuring Missy Elliott and Lil' Kim), ""I Remember"" and ""Heaven Sent"" — and earned her four Grammy nominations. The album reached number two on <i>Billboard</i> 200 chart and was certified platinum by the RIAA. Her third album, <i>A Different Me</i> (2008), was met with generally positive reviews and became the second of her career to debut atop of the Top R&amp;B/Hip-Hop Albums chart as well as number two on the <i>Billboard</i> 200. A commercial success, the album was certified platinum by the RIAA.</p><p>Cole's fourth album, <i>Calling All Hearts</i> (2010), included the singles ""I Ain't Thru"" and ""Take Me Away"". Her fifth studio album, <i>Woman to Woman</i> (2012), peaked at number ten on the <i>Billboard</i> 200. It spawned the single ""Enough of No Love"", which peaked within the top-ten of the Hot R&amp;B/Hip-Hop Songs chart. That same year, she starred in the reality series <i>Keyshia &amp; Daniel: Family First</i>. Further label changes saw the release of <i>Point of No Return</i> (2014) under Interscope and <i>11:11 Reset</i> (2017) under Epic. 
</p><p>Dubbed by critics as the ""Princess of Hip-Hop Soul"", Cole is best known for her soulful voice. Her work has earned her numerous awards and accolades, including an ASCAP Award and a Billboard Music Award. From 2019 to 2020, she hosted the Fox Soul syndicated television talk show <i>One on One with Keyshia Cole.</i>
</p>"
Future,artist,,1983|11|20,Atlanta,2011-present,,Future (rapper),"<p class=""mw-empty-elt"">


</p>
<p><b>Nayvadius DeMun Cash</b> (born <b>Nayvadius DeMun Wilburn</b>; born November 20, 1983), better known by the stage name <b>Future</b>, is an American rapper. Known for his mumble-styled vocals and prolific output, Future is considered a pioneer of the use of melody and auto-tune in modern trap music. Due to the sustained contemporary popularity of his musical style, he is commonly regarded as one of the most influential rappers of his generation.</p><p>Born and raised in Atlanta, Georgia, Future signed a recording contract with A1 Recordings and Epic Records in 2011, and released the albums <i>Pluto</i> (2012) and <i>Honest</i> (2014), which contained the platinum singles ""Turn On the Lights"", ""Honest"", ""Move That Dope"" (featuring Pharrell Williams and Pusha T), and ""I Won"" (featuring Kanye West). He then achieved critical and commercial success with <i>DS2</i> (2015) and its singles ""Fuck Up Some Commas"" and ""Where Ya At"" (featuring Drake), and followed it up with <i>Evol</i> (2016) and its lead single ""Low Life"" (featuring The Weeknd). Future's eponymous fifth album and its successor <i>Hndrxx</i> (both 2017) made him the first artist in history to debut two albums in consecutive weeks atop the US <i>Billboard</i> 200; the former contained the international hits ""Used to This"" (featuring Drake) and ""Mask Off"".
</p><p>After departing A1, Future released the albums <i>The Wizrd</i> (2019) and <i>High Off Life</i> (2020), which featured the RIAA certified Diamond single ""Life Is Good"" (featuring Drake). In 2021, Future achieved his first number-one single on the Hot 100 after a record-breaking 125 entries after featuring with Young Thug on Drake's ""Way 2 Sexy"". The album <i>I Never Liked You</i> (2022) spawned his second number-one hit, ""Wait for U"" (featuring Drake and Tems), which also became his highest charting single as a lead artist. The song won a Grammy Award for Best Melodic Rap Performance, while its parent album received a nomination for Best Rap Album.
</p><p>Future released the mixtapes <i>Beast Mode</i> (with Zaytoven), <i>56 Nights</i>, and <i>What a Time to Be Alive</i> (with Drake) in 2015; the latter included the song ""Jumpman"". He released the full-length collaborative projects <i>Super Slimey</i> (2017) with Young Thug, <i>Wrld on Drugs</i> (2018) with Juice Wrld, and <i>Pluto x Baby Pluto</i> (2020) with Lil Uzi Vert. Among the best selling musicians, Future's accolades include 2 Grammy Awards.
</p>"
Ashley Tisdale,artist,Ashley Michelle Tisdale,1985|7|2,Monmouth County,1997–present,Vocals,Ashley Tisdale,"<p class=""mw-empty-elt"">

 
</p>
<p><b>Ashley Michelle Tisdale</b> (born July 2, 1985) is an American actress and singer. During her childhood, she was featured in over 100 advertisements and had minor roles in television and theatre. She achieved mainstream success as Maddie Fitzpatrick in the Disney Channel teen sitcom <i>The Suite Life of Zack &amp; Cody</i> (2005–2008). This success was heightened when she starred as Sharpay Evans in the <i>High School Musical</i> film series (2006–2008). The success of the films led to Tisdale's signing with Warner Bros. Records and subsequently releasing her debut studio album, <i>Headstrong</i> (2007), which was a commercial success, earning a gold certification from the Recording Industry Association of America (RIAA). Tisdale played the voice role of Candace Flynn in the Disney Channel animated series <i>Phineas &amp; Ferb</i> (2007–2015).
</p><p>Tisdale's second studio album, <i>Guilty Pleasure</i> (2009), was released to less commercial success than its predecessor. Tisdale would part ways with Warner Bros. Records following the release of the album. During this time, she began appearing in more films and returned to television with shows such as <i>Hellcats</i> (2010). Tisdale's production company Blondie Girl Productions, first formed in 2008, signed a multi-year production deal with Relativity Media in 2010; Tisdale would produce shows such as <i>Miss Advised</i> (2012) as part of the deal. Tisdale starred in the <i>High School Musical</i> spin-off film <i>Sharpay's Fabulous Adventure</i> (2011), also releasing a soundtrack to promote the film.
</p><p>In 2013, Tisdale announced work on her third studio album, releasing the promotional single ""You're Always Here"", and starred in the horror comedy film <i>Scary Movie 5.</i> She has continued to appear in television roles, joining the main cast of <i>Clipped</i> (2015). She also served as executive producer of the ABC Family television series <i>Young &amp; Hungry</i> (2014–2018). In 2018, Tisdale returned to music with the release of the singles ""Voices in My Head"" and ""Love Me &amp; Let Me Go"". Her third studio album and first in a decade, <i>Symptoms</i>, was released in 2019. Recently, Tisdale starred as Jenny Kenney in the CBS sitcom <i>Carol's Second Act</i> (2019–2020), and served as a panelist on the reality competition show <i>The Masked Dancer</i>.</p>"
“Weird Al” Yankovic,artist,Alfred Matthew Yankovic,1959|10|23,Downey,,"* Vocals
* accordion
* keyboards","""Weird Al"" Yankovic","<p class=""mw-empty-elt"">


</p>

<p><b>Alfred Matthew</b> ""<b>Weird Al</b>"" <b>Yankovic</b> (<span></span> <i title=""English pronunciation respelling""><span>YANG</span>-kə-vik</i>; born October 23, 1959) is an American singer, musician, songwriter, record producer, actor and author. He is best known for creating comedy songs that make light of pop culture and often parody specific songs by contemporary musicians. He also performs original songs that are style pastiches of the work of other acts, as well as polka medleys of several popular songs, most of which feature his trademark accordion.
</p><p>Since having a comedy song aired on <i>The Dr. Demento Radio Show</i> in 1976 at age 16, Yankovic has sold more than 12 million albums (as of 2015), recorded more than 150 parodies and original songs, and performed more than 1,000 live shows. His work has earned him five Grammy Awards and a further 11 nominations, four gold records, and six platinum records in the U.S. His first top ten <i>Billboard</i> album (<i>Straight Outta Lynwood</i>) and single (""White &amp; Nerdy"") were both released in 2006, nearly three decades into his career. His latest album, <i>Mandatory Fun</i> (2014), became his first number-one album during its debut week.
</p><p>Yankovic's success comes in part from his effective use of music videos to further parody pop culture, the song's original artist, and the original music videos themselves, scene-for-scene in some cases. He directed later videos himself and went on to direct for other artists, including Ben Folds, Hanson, the Black Crowes, and the Presidents of the United States of America. With the decline of music television and the onset of social media, he used YouTube and other video sites to publish his videos; this strategy helped to boost sales of his later albums. Yankovic has stated that he may forgo traditional albums in favor of timely releases of singles from the 2010s onwards.
</p><p>In addition to recording his albums, Yankovic wrote and starred in the film <i>UHF</i> (1989) and the television series <i>The Weird Al Show</i> (1997). He has produced two satirical films about his own life, <i>The Compleat Al</i> (1985) and <i>Weird: The Al Yankovic Story</i> (2022). He has also made guest appearances and performed voice acting roles on many television shows and video web content, in addition to starring in <i>Al TV</i> specials on MTV. He has also written two children's books, <i>When I Grow Up</i> (2011) and <i>My New Teacher and Me!</i> (2013).
</p>"
Isaac Hayes,artist,Isaac Lee Hayes Jr.,1942|8|20,{{death date and age,1950s–2008,"* Vocals
* keyboards
* saxophone",Isaac Hayes,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>Isaac Lee Hayes Jr.</b> (August 20, 1942 – August 10, 2008) was an American singer, actor, songwriter, and composer. He was one of the creative forces behind the Southern soul music label Stax Records, where he served both as an in-house songwriter and as a session musician and record producer, teaming with his partner David Porter during the mid-1960s. Hayes and Porter were inducted into the Songwriters Hall of Fame in 2005 in recognition of writing scores of songs for themselves, the duo Sam &amp; Dave, Carla Thomas, and others. In 2002, Hayes was inducted into the Rock and Roll Hall of Fame.</p><p>""Soul Man"", written by Hayes and Porter and first performed by Sam &amp; Dave, was recognized as one of the most influential songs of the past 50 years by the Grammy Hall of Fame. It was also honored by The Rock and Roll Hall of Fame, by <i>Rolling Stone</i> magazine, and by the Recording Industry Association of America (RIAA) as one of the Songs of the Century. During the late 1960s, Hayes also began a career as a recording artist. He had several successful soul albums such as <i>Hot Buttered Soul</i> (1969) and <i>Black Moses</i> (1971). In addition to his work in popular music, he worked as a composer of musical scores for motion pictures.
</p><p>Hayes was known for his musical score for the film <i>Shaft</i> (1971). For the ""Theme from <i>Shaft</i>"", he was awarded the Academy Award for Best Original Song in 1972. This made him the third black person, after Hattie McDaniel and Sidney Poitier, to win an Academy Award in any competitive field covered by the Academy of Motion Picture Arts and Sciences. Hayes also won two Grammy Awards for that same year. Later, he was given his third Grammy for his music album <i>Black Moses</i>.
</p><p>In 1992, Hayes was crowned honorary king of the Ada region of Ghana in recognition of his humanitarian work there. He acted in motion pictures and television, such as in the movies <i>Truck Turner</i> and <i>I'm Gonna Git You Sucka</i>, and as Gandolf ""Gandy"" Fitch in the TV series <i>The Rockford Files</i> (1974–1980). He voiced the character Chef from the animated Comedy Central series <i>South Park</i> from its 1997 debut until his controversial departure in 2006.
</p><p>On August 5, 2003, Hayes was honored as a BMI Icon at the 2003 BMI Urban Awards for his enduring influence on generations of music makers. Throughout his songwriting career, Hayes received five BMI R&amp;B Awards, two BMI Pop Awards, two BMI Urban Awards and six Million-Air citations. As of 2008, his songs had generated more than 12 million performances.</p>"
Wyclef Jean,artist,Nel Ust Wyclef Jean,1969|10|17,Croix-des-Bouquets,1989–present,"* Vocals
* guitar",Wyclef Jean,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">

</p>
<p><b>Nel Ust Wyclef Jean</b> (<span></span>; born October 17, 1969) is a Haitian rapper, musician, and actor. At the age of nine, Jean immigrated to the United States with his family. He first achieved fame as a member of the New Jersey hip hop group the Fugees, alongside Lauryn Hill and Pras Michel. They released the albums <i>Blunted on Reality</i> (1994) and <i>The Score</i> (1996), the latter becoming one of the best-selling albums of all time. Jean would follow this with the release of his first solo studio album, <i>Wyclef Jean Presents The Carnival</i> (1997), which contains the top ten hit ""Gone till November"".
</p><p>Jean would continue to have a successful music career as a soloist. He released an additional eight studio albums; including the RIAA Platinum certified album, <i>The Ecleftic: 2 Sides II a Book</i> (2000), which reached the top ten on the <i>Billboard</i> 200 chart<i>.</i> He also released the commercially successful singles ""911"" (featuring Mary J. Blige), and ""Sweetest Girl (Dollar Bill)"" (featuring Akon, Niia &amp; Lil Wayne)""; was featured on Destiny Child's ""No, No, No"", as well as the US <i>Billboard</i> Hot 100 number one single ""Hips Don't Lie"" by Shakira; and composed the single ""Maria Maria"" by Santana.
</p><p>In August 2010, Jean filed for candidacy in the 2010 Haitian presidential election. However, Haiti's Provisional Electoral Council ruled him ineligible to stand for office, as he had not met the constitutional requirement to have been a resident in Haiti for five years prior to the election. Jean's highly publicized efforts to raise relief funds after the 2010 Haitian earthquake were channeled through his charitable organization, Yéle Haiti. The charity, which conducted education and welfare activities in Haiti between 2005 and 2010, effectively closed in 2012. <i>The New York Times</i> reported that much of the money raised by the organization in the <i>Hope for Haiti Now</i> telethon was retained by Jean for his own benefit. In 2012, Jean published his memoir <i>Purpose: An Immigrant's Story</i>. Jean performed his single ""Dar um Jeito (We Will Find a Way)"", at the closing ceremony for the 2014 FIFA World Cup in Brazil. 
</p><p>He has won three Grammy Awards, and has received a Golden Globe Award nomination for his musical work. In 2011, President Michel Martelly of Haiti awarded Jean with the National Order of Honour and Merit to the rank of Grand Officer. Jean has also been inducted into the New Jersey Hall of Fame.
</p>"
Rita Ora,artist,Rita Sahatçiu,1990|11|26,Pristina,2008–present,Vocals,Rita Ora,"<p class=""mw-empty-elt"">


</p>
<p><b>Rita Sahatçiu Ora</b> (<small>Albanian: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""sq-Latn-fonipa"">[ˈɾita sahatˈtʃiu ˈɔɾa]</span>; born <b>Rita Sahatçiu</b> on 26 November 1990) is a British singer and songwriter. She rose to prominence in February 2012 when she featured on DJ Fresh's single, ""Hot Right Now"", which reached number one in the UK. Her debut studio album, <i>Ora</i>, released in August 2012, debuted at number one in the United Kingdom. The album contained the UK number-one singles, ""R.I.P."" and ""How We Do (Party)"". Ora was the artist with the most number-one singles on the UK Singles Chart in 2012, with three singles reaching the top position.</p><p>Born in Pristina, modern-day Kosovo, Ora was named an Honorary Ambassador of Kosovo in 2015. Ora's second studio album, <i>Phoenix</i>, was released in November 2018. The lead single, ""Your Song"", reached the UK top ten, and the subsequent singles, ""Anywhere"" and ""Let You Love Me"", reached the top five in the UK. ""Let You Love Me"" made Ora the first British female solo artist to have thirteen top ten songs in the United Kingdom.</p>"
Bobby Darin,artist,Walden Robert Cassotto,1936|05|14,New York City,1956–1973,"* Vocals
* guitar
* piano
* drums
* harmonica
* xylophone",Bobby Darin,"<p class=""mw-empty-elt"">

</p>
<p><b>Bobby Darin</b> (born <b>Walden Robert Cassotto</b>; May 14, 1936 – December 20, 1973) was an American musician and actor. He performed jazz, pop, rock and roll, folk, swing, and country music.
</p><p>He started his career as a songwriter for Connie Francis. He recorded his first million-selling single, ""Splish Splash"", in 1958. That was followed by ""Dream Lover"", ""Mack the Knife"", and ""Beyond the Sea"", which brought him worldwide fame. In 1962, he won a Golden Globe Award for his first film, <i>Come September</i>, co-starring his first wife, actress Sandra Dee.
</p><p>During the 1960s, he became more politically active and worked on Robert F. Kennedy's Democratic presidential campaign. He was present at the Ambassador Hotel in Los Angeles at the time of Robert Kennedy's assassination in June 1968. During the same year, he discovered the woman who had raised him was his grandmother, not his mother as he thought, and learned that the woman he thought was his sister was actually his mother. Those events deeply affected Darin and sent him into a long period of seclusion.</p><p>Although he made a successful comeback (in television) in the early 1970s, his health was beginning to fail following bouts of rheumatic fever in childhood. The knowledge of his vulnerability had always spurred him on to use his musical talent while still young. He died at the age of 37 after a heart operation in Los Angeles in 1973.</p>"
Stromae,artist,Paul van Haver,1985|3|12,Etterbeek,,,Stromae,"<p class=""mw-empty-elt"">
</p>

<p class=""mw-empty-elt"">
</p>

<p><b>Paul van Haver</b> (<small>Dutch pronunciation: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""nl-Latn-fonipa"">[ˈpɔu̯l vɑn ˈɦaːvər]</span>; born 12 March 1985), better known by his stage name <b>Stromae</b> (<small>French pronunciation: ​</small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""fr-Latn-fonipa"">[stʁɔmaj]</span>), is a Belgian singer, rapper, songwriter and producer. He is mostly known for his music blending hip hop and electronic music. Stromae came to wide public attention in 2009 with his song ""Alors on danse"" (from the album <i>Cheese</i>), which became a number one in several European countries. In 2013, his second album <i>Racine carrée</i> was a commercial success, selling 2 million copies in France. The main singles from the album include ""Papaoutai"" and ""Formidable"".
</p>"
