Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
,,,,,,,
Marvin Gaye,Marvin Pentz Gay Jr.,1939|4|2,Washington,1957–1984,Vocals|keyboards|drums,Marvin Gaye,"<p class=""mw-empty-elt"">
</p>
<p><b>Marvin Pentz Gay Jr.</b>, who also spelled his surname as <b>Gaye</b> (April 2, 1939 – April 1, 1984), was an American R&amp;B and soul singer. He helped to shape the sound of Motown in the 1960s, first as an in-house session player and later as a solo artist with a string of successes, earning him the nicknames ""Prince of Motown"" and ""Prince of Soul"".
</p><p>Gaye's Motown songs include ""Ain't That Peculiar"", ""How Sweet It Is (To Be Loved By You)"", and ""I Heard It Through the Grapevine"". Gaye also recorded duets with Mary Wells, Kim Weston, Tammi Terrell, and Diana Ross. During the 1970s, Gaye recorded the albums <i>What's Going On</i> and <i>Let's Get It On</i> and became one of the first artists in Motown to break away from the reins of a production company.
</p><p>His later recordings influenced several contemporary R&amp;B subgenres, such as quiet storm and neo soul. ""Sexual Healing"", released in 1982 on the album <i>Midnight Love</i>, won him his first two Grammy Awards. Gaye's last televised appearances were at the 1983 NBA All-Star Game, where he sang ""The Star-Spangled Banner""; <i>Motown 25: Yesterday, Today, Forever</i>; and <i>Soul Train</i>.</p><p>On April 1, 1984, the eve of his 45th birthday, Gaye was shot and killed by his father, Marvin Gay Sr., at their house in Hancock Park, Los Angeles, after an argument. Gay Sr. later pleaded no contest to voluntary manslaughter, and received a six-year suspended sentence and five years of probation. Many institutions have posthumously bestowed Gaye with awards and other honors including the Grammy Lifetime Achievement Award, and inductions into the Rhythm and Blues Music Hall of Fame, the Songwriters Hall of Fame, and the Rock and Roll Hall of Fame.</p>"
,,,,,,,
Dido,Florian Cloud de Bounevialle Armstrong,1971|12|25,Kensington,1995–present,,Dido (singer),"<p class=""mw-empty-elt"">


</p>

<p><b>Florian Cloud de Bounevialle O'Malley Armstrong</b> (born 25 December 1971), known professionally as <b>Dido</b> (<span></span> <i title=""English pronunciation respelling""><span>DY</span>-doh</i>), is an English singer and songwriter. She attained international success with her debut album <i>No Angel</i> (1999). Hit singles from the album include ""Here with Me"" and ""Thank You"". It sold over 21 million copies worldwide, and won her several awards, including two Brit Awards; for Best British Album and Best British Female, as well as the MTV Europe Music Award for Best New Act. The first verse of ""Thank You"" is sampled in ""Stan"", a collaboration with American rapper Eminem. Her next album, <i>Life for Rent</i> (2003), continued her success with the hit singles ""White Flag"" and ""Life for Rent"". In 2004, Dido performed with other British and Irish artists in the Band Aid 20 version of the charity single ""Do They Know It's Christmas?"".
</p><p>Dido's first two albums are among the best-selling albums in UK chart history, and both are in the top 10 best-selling albums of the 2000s in the UK. Her third studio album, <i>Safe Trip Home</i> (2008), received critical acclaim but failed to duplicate the commercial success of her previous efforts. She received an Academy Award nomination for Best Original Song for ""If I Rise"". Dido was ranked No. 98 on the <i>Billboard</i> chart of the top <i>Billboard</i> 200 artists of the 2000s (2000–2009) based on the success of her albums in the first decade of the 21st century.</p><p>Dido made a comeback in 2013, releasing her fourth studio album, <i>Girl Who Got Away</i>, which reached the top 5 in the UK. Having taken time out of the music industry to raise her son, she reappeared on stage at the 2013 Reading and Leeds festival where she reunited with Eminem. Dido released her fifth studio album, <i>Still on My Mind,</i> on 8 March 2019 and embarked on her first tour in 15 years in support of the new album.
</p><p>In May 2019, Dido received the Ivor Novello Award for Outstanding Song Collection from the British Academy of Songwriters, Composers, and Authors.</p>"
,,,,,,,
Nelly,Cornell Iral Haynes Jr.,1974|11|02,Austin,1993–present,,Nelly,"<p class=""mw-empty-elt"">

</p>
<p><b>Cornell Iral Haynes Jr.</b> (born November 2, 1974), better known by his stage name <b>Nelly</b>, is an American rapper. He embarked on his music career with the hip hop group St. Lunatics in 1993 and signed to Universal Records in 1999. Under Universal, Nelly began his solo career in the year 2000, with his debut album <i>Country Grammar</i>, of which the featured title track and the single ""Ride wit Me"" were top ten hits. The album peaked at number one the <i>Billboard</i> 200, and became Nelly's best-selling album to date, selling over 8.4 million copies in the United States. His following album <i>Nellyville</i> produced the number-one hits ""Hot in Herre"" and ""Dilemma"" (featuring Kelly Rowland), along with the top five single ""Air Force Ones"" (featuring Murphy Lee and St. Lunatics).
</p><p>With the same-day dual release of <i>Sweat</i> and <i>Suit</i> (2004) and the compilation <i>Sweatsuit</i> (2006), Nelly continued to generate many chart-topping hits. <i>Sweat</i> debuted at number two on the US <i>Billboard</i> 200 chart, selling 342,000 copies in its first week. In the same week of release, <i>Suit</i> debuted at number one, selling around 396,000 copies in its first week on the same chart. Nelly's fifth studio album, <i>Brass Knuckles</i>, was released in 2008 after several delays. It produced the singles ""Party People"" (featuring Fergie), ""Stepped on My J'z"" (featuring Jermaine Dupri and Ciara) and ""Body on Me"" (featuring Akon and Ashanti). In 2010, Nelly released the album <i>5.0</i>. The lead single, ""Just a Dream"", was certified triple platinum by the Recording Industry Association of America (RIAA); it also spawned the singles ""Move That Body"" (featuring T-Pain and Akon) and ""Gone"" (featuring Kelly Rowland).
</p><p>Nelly has won multiple accolades throughout his career including three Grammy Awards and nine Billboard Music Awards. In 2005, he starred in the remake film <i>The Longest Yard,</i> alongside Adam Sandler and Chris Rock. He has two clothing lines, Vokal and Apple Bottoms. He has been referred to by Peter Shapiro as ""one of the biggest stars of the new millennium"", and as of 2014, Nelly was ranked as the fourth-best-selling rap artist in American music history, according to the RIAA, with 21 million albums sold in the United States. In December 2009, <i>Billboard</i> ranked Nelly the number three Top Artist of the Decade (2000s).</p>"
,,,,,,,
Timbaland,Timothy Zachery Mosley,1972|3|10,Norfolk,1986–present,,Timbaland,"<p class=""mw-empty-elt"">
</p>
<p><b>Timothy Zachery Mosley</b> (born March 10, 1972), known professionally as <b>Timbaland</b>, is an American record producer, rapper, singer, songwriter, and record executive. He has received widespread acclaim for his innovative production work and distinctive ""stuttering"" rhythmic style. In 2007, <i>Entertainment Weekly</i> stated that ""just about every current pop trend can be traced back to him — from sultry, urban-edged R&amp;B songstresses ... to the art of incorporating avant-garde sounds into No. 1 hits.""</p><p>Timbaland's first full credit production work was in 1996 on <i>Ginuwine...the Bachelor</i> for R&amp;B singer Ginuwine. Further work on Aaliyah's second studio album <i>One in a Million</i> (1996) and Missy Elliott's debut studio album <i>Supa Dupa Fly</i> (1997) made him a prominent producer for R&amp;B and hip hop artists. As a rapper he initially released several albums with fellow rapper Magoo, followed by his debut solo album <i>Tim's Bio</i> in 1998. In 2002, Timbaland produced the hit single ""Cry Me a River"" for Justin Timberlake and went on to produce most of Timberlake's subsequent LPs, such as <i>FutureSex/LoveSounds</i> and <i>The 20/20 Experience</i> along with their respective hit singles.
</p><p>The Timbaland-owned imprint label, Mosley Music Group, featured artists such as Nelly Furtado, whose Timbaland-produced album <i>Loose</i> (2006) was a commercial and critical success. In 2007, Timbaland released a solo album, <i>Shock Value</i>, which was followed by <i>Shock Value II</i> in 2009. Timbaland's production credits during the 2000s also include work with Jay-Z, Nas, Ludacris, Missy Elliott, Bubba Sparxxx, Madonna, Rihanna, Justin Timberlake, Nelly Furtado, OneRepublic, Brandy, Drake, and Björk, among others. As a songwriter, he has written 85 UK hits and 99 US hits, as of 2014. With Swizz Beatz, he created the popular webcast series <i>Verzuz</i> in 2020.
</p>


"
,,,,,,,
Lana Del Rey,Elizabeth Woolridge Grant,1985|6|21,,2005–present,,Lana Del Rey,"<p class=""mw-empty-elt"">


</p>
<p><b>Elizabeth Woolridge Grant</b> (born June 21, 1985), known professionally as <b>Lana Del Rey</b>, is an American singer-songwriter. Her music is noted for its cinematic quality and exploration of tragic romance, glamour, and melancholia, with frequent references to contemporary pop culture and 1950s–1960s Americana. She is the recipient of various accolades, including two Brit Awards, two MTV Europe Music Awards, and a Satellite Award, in addition to nominations for six Grammy Awards and a Golden Globe Award. <i>Variety</i> honored her at their Hitmakers Awards for being ""one of the most influential singer-songwriters of the 21st century"".</p><p>Raised in upstate New York, Del Rey moved to New York City in 2005 to pursue a music career. After numerous projects, including her self-titled debut studio album, Del Rey's breakthrough came in 2011 with the viral success of her single ""Video Games""; she subsequently signed a recording contract with Polydor and Interscope. She achieved critical and commercial success with her second album, <i>Born to Die</i> (2012), which contained the sleeper hit ""Summertime Sadness"". Del Rey's third album, <i>Ultraviolence</i> (2014), featured greater use of guitar-driven instrumentation and debuted atop the U.S. <i>Billboard</i> 200. Her fourth and fifth albums, <i>Honeymoon</i> (2015) and <i>Lust for Life</i> (2017), saw a return to the stylistic traditions of her earlier releases, while her critically acclaimed sixth album, <i>Norman Fucking Rockwell!</i> (2019), explored soft rock. Her next studio albums, <i>Chemtrails over the Country Club</i> and <i>Blue Banisters</i>, followed in 2021. Del Rey collaborated with Taylor Swift on ""Snow on the Beach"" for Swift's tenth studio album <i>Midnights</i> (2022), which peaked at number four on the U.S. <i>Billboard</i> Hot 100, becoming Del Rey's highest-charting song on the chart.
</p><p>Del Rey has collaborated on soundtracks for visual media; in 2013, she wrote and starred in the critically acclaimed musical short <i>Tropico</i> and released ""Young and Beautiful"" for the romantic drama <i>The Great Gatsby</i>. In 2014, she recorded ""Once Upon a Dream"" for the dark fantasy adventure film <i>Maleficent</i> and the self-titled theme song for the biopic <i>Big Eyes</i>. Del Rey collaborated with Ariana Grande and Miley Cyrus on ""Don't Call Me Angel"" for the action comedy <i>Charlie's Angels</i> (2019), which peaked at number 13 on the U.S. <i>Billboard</i> Hot 100. Additionally, Del Rey published the poetry and photography collection <i>Violet Bent Backwards over the Grass</i> (2020).
</p>


"
,,,,,,,
Jason Derulo,Jason Joel Desrouleaux,1989|9|21,Miramar,2006–present,,Jason Derulo,"<p class=""mw-empty-elt"">

</p>
<p><b>Jason Joel Desrouleaux</b> (born September 21, 1989), known professionally as <b>Jason Derulo</b> (<span></span>; formerly stylized as <b>Derülo</b>), is an American singer and songwriter. Since the start of his solo recording career in 2009, he has sold over 250 million singles worldwide and has achieved eleven platinum singles including ""Wiggle"", ""Talk Dirty"", ""Want to Want Me"", ""Trumpets"", ""It Girl"", ""In My Head"", ""Ridin' Solo"", and ""Whatcha Say"".</p><p>After contributing and writing songs for various artists, Derulo signed to recording label Beluga Heights, owned by record producer and industry veteran J. R. Rotem. After Beluga Heights became part of the Warner Music Group, Derulo became a recording artist and released his debut single ""Whatcha Say"" in May 2009. It sold over five million digital downloads, gaining an RIAA certification of triple platinum, and reaching number one in the U.S. and New Zealand. Derulo released his second single, ""In My Head"", in December 2009 and his self-titled debut studio album <i>Jason Derulo</i>, followed on March 2, 2010. He released his second album, <i>Future History</i>, on September 16, 2011; the album was preceded by the release of the UK number-one single ""Don't Wanna Go Home"". Derulo's third international album, <i>Tattoos</i>, was released on September 24, 2013, and later repackaged as his third U.S. album, <i>Talk Dirty</i>, released on April 15, 2014. In 2015, Derulo released his single ""Want to Want Me"" and announced his fourth studio album, <i>Everything Is 4</i>, which was released on June 2, 2015.
</p><p>In June 2020, Derulo released the single ""Savage Love (Laxed – Siren Beat)"" alongside beat producer Jawsh 685. The song went viral on TikTok and was later remixed by BTS, wherein the remix reached number one in the US, becoming Derulo's second chart-topper in the region. In November 2020, Derulo released another single entitled ""Love Not War (The Tampa Beat)"" featuring New Caledonian beat producer Nuka. It was inspired from the latter's SoundCloud track known as ""The Tampa Beat"" which was earlier released in 2018, and has been used in over 23 million TikTok videos.</p>"
,,,,,,,
Robbie Williams,Robert Peter Williams,1974|2|13,Stoke-on-Trent,1989–present,,Robbie Williams,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">


</p>

<p><b>Robert Peter Williams</b> (born 13 February 1974) is an English singer and songwriter. He found fame as a member of the pop group Take That from 1990 to 1995, and achieved commercial success after launching a solo career in 1996. His debut studio album, <i>Life thru a Lens</i>, was released in 1997, and included his signature song, ""Angels"". His second album, <i>I've Been Expecting You</i>, featured the songs ""Millennium"" and ""She's the One"", his first number one singles. His discography includes seven UK No. 1 singles, and all but one of his 14 studio albums have reached No. 1 in the UK. Six of his albums are among the top 100 biggest-selling albums in the UK, with two of them in the top 60, and he gained a Guinness World Record in 2006 for selling 1.6 million tickets in a single day during his Close Encounters Tour.</p><p>Williams has received a record 18 Brit Awards, winning Best British Male Artist four times, Outstanding Contribution to Music twice, an Icon Award for his lasting impact on British culture, eight German ECHO Awards, and three MTV European Music Awards. In 2004, he was inducted into the UK Music Hall of Fame after being voted the Greatest Artist of the 1990s. According to the British Phonographic Industry (BPI), he has been certified for 20.2 million albums and 8.66 million singles in the UK as a solo artist. Five of his albums have also topped the Australian albums chart, and has sold 75 million records worldwide, making him one of the best-selling music artists of all time. He also topped the 2000–2010 UK airplay chart. His three concerts at Knebworth in 2003 drew over 375,000 people, the UK's biggest music event to that point. In 2014, he was awarded the freedom of his hometown of Stoke-on-Trent and had a tourist trail created and streets named in his honour. Williams' thirteenth album, <i>XXV</i> was released on 9 September 2022.</p><p>After 15 years, Williams rejoined Take That in 2010 to co-write and perform lead vocals on their album <i>Progress</i>, which became the second-fastest-selling album in UK chart history and the fastest-selling record of the century at the time. The subsequent stadium tour, which featured seven songs from Williams' solo career, became the biggest-selling concert in UK history when it sold 1.34 million tickets in less than 24 hours. In 2011, Take That frontman Gary Barlow confirmed that Williams had left the band for a second time to focus on his solo career, although he stated that the departure was amicable and that Williams was welcome to rejoin Take That in the future. Williams has since performed with Take That on three separate television appearances, and collaborated with Barlow on a number of projects such as the West End musical <i>The Band</i>.</p>"
,,,,,,,
Alanis Morissette,Alanis Nadine Morissette,1974|06|01,Ottawa,1986–present,,Alanis Morissette,"<p class=""mw-empty-elt"">

</p>
<p><b>Alanis Nadine Morissette</b> (<span></span> <i title=""English pronunciation respelling"">ə-<span>LAH</span>-niss <span>MORR</span>-ih-<span>SET</span></i>; born June 1, 1974) is a  Canadian-American singer, songwriter, and actress. Known for her emotive mezzo-soprano voice and confessional songwriting, Morissette began her career in Canada in the early 1990s with two dance-pop albums. In 1995, she released <i>Jagged Little Pill</i>, an alternative rock-oriented album with elements of post-grunge, which sold more than 33 million copies globally and is her most critically acclaimed work to date. It earned her the Grammy Award for Album of the Year in 1996 and has been made into a rock musical of the same name in 2017, which earned fifteen Tony Award nominations, including Best Musical. The album was also listed in the 2003 and 2020 editions of Rolling Stone's 500 Greatest Albums of All Time Guide. The lead single, ""You Oughta Know"", was also included at #103 in their 500 Greatest Songs of All Time. A highly anticipated, more experimental follow-up, electronic-infused album, <i>Supposed Former Infatuation Junkie</i>, was released in 1998.
</p><p>Morissette assumed creative control and production duties for her subsequent studio albums, including <i>Under Rug Swept</i> (2002), <i>So-Called Chaos</i> (2004), <i>Flavors of Entanglement</i> (2008), <i>Havoc and Bright Lights</i> (2012), and <i>Such Pretty Forks in the Road</i> (2020). Her latest album, <i>The Storm Before the Calm</i>, which features ambient music, was released in 2022. Her well-known singles ""You Oughta Know"", ""Hand in My Pocket"", ""Ironic"", ""You Learn"", ""Head Over Feet"", ""Uninvited"", ""Thank U"", and ""Hands Clean"" reached top 40 in the major charts around the world, including ten top-40 hits in the UK, 3
three top-10 in the US and Australia, and twelve top-10 hits in her native Canada. She also holds the record for the most No. 1s on the weekly Billboard Alternative Songs chart for any female soloist, group leader, or duo member. She is listed on VH1's 1999 ""100 Greatest Women of Rock and Roll"" at number 53.</p><p>Morissette has won seven Grammy Awards, fourteen Juno Awards, one Brit Award, and has sold more than 75 million records worldwide. She has been dubbed the ""Queen of Alt-Rock Angst"" by <i>Rolling Stone</i>.</p>


"
,,,,,,,
Bruno Mars,Peter Gene Hernandez,1985|10|08,Honolulu,2004–present,"* Vocals
* guitar
* piano
* keyboards
* drums
* bass
* ukulele
* congas",Bruno Mars,"<p class=""mw-empty-elt"">


</p>
<p><b>Peter Gene Hernandez</b> (born October 8, 1985), known professionally as <b>Bruno Mars</b>, is an American singer, songwriter, and record producer. He is known for his stage performances, retro showmanship, and for performing in a wide range of musical styles, including pop, R&amp;B, funk, soul, reggae, disco, and rock. Mars is accompanied by his band, the Hooligans, who play a variety of instruments, such as electric guitar, bass, piano, keyboards, drums, and horns, and also serve as backup singers and dancers.
</p><p>Born and raised in Honolulu, Hawaii, Mars moved to Los Angeles in 2003 to pursue a musical career. In 2009, he co-founded the production team The Smeezingtons, responsible for various successful singles for Mars himself and other artists. He rose to fame in 2010 buoyed by the success of ""Nothin' on You"" by B.o.B and ""Billionaire"" by Travie McCoy, both of which featured his vocals. That year, Mars released his debut studio album <i>Doo-Wops &amp; Hooligans</i>, which blended pop with reggae and R&amp;B. It spawned the international number-one singles ""Just the Way You Are"", ""Grenade"", and ""The Lazy Song"". Drawing inspiration from disco, funk, rock, reggae and soul genres, his second studio album, <i>Unorthodox Jukebox</i> (2012), was his first number one on the <i>Billboard</i> 200. It amassed two <i>Billboard</i> Hot 100 number-one songs, ""Locked Out of Heaven"" and ""When I Was Your Man"".
</p><p>In 2014, Mars was featured on Mark Ronson's ""Uptown Funk"", which topped various music charts, spending a total of fourteen and seven weeks atop the <i>Billboard</i> Hot 100 and the UK Singles Chart, respectively. Mars's third studio album, the R&amp;B-focused <i>24K Magic</i> (2016), received seven Grammy Awards, winning the major categories of Album of the Year, Record of the Year, and Song of the Year. The album also yielded the top-five singles ""24K Magic"", ""That's What I Like"" (his seventh <i>Billboard</i> Hot 100 number-one single), and a remix of ""Finesse"" featuring Cardi B. In 2021, Mars and Anderson .Paak, as Silk Sonic, released the collaborative studio album <i>An Evening with Silk Sonic</i>, which delved into 1970s R&amp;B and soul and was led by the chart-topping single ""Leave the Door Open"". It received four Grammy Awards, including Record of the Year and Song of the Year.
</p><p>Mars has sold over 130 million records worldwide, making him one of the best-selling music artists of all time. Eight of his songs have reached number one on the <i>Billboard</i> Hot 100 and his concert tours are some of the highest-grossing in history. He has received 15 Grammy Awards (including three  Record of the Year wins), four Brit Awards, eleven American Music Awards, 13 Soul Train Awards and holds three <i>Guinness World Records</i>, among other accolades. He featured on <i>Music Week</i><span>'</span>s best songwriters (2011) and <i>Billboard</i><span>'</span>s Greatest of All Time Artists (2019) lists and rankings such as the <i>Time</i> 100 and <i>Forbes</i> Celebrity 100. Mars became the first artist to receive six Diamond-certified songs in the United States and has been regarded as a pop icon due to his influential career.
</p>


"
,,,,,,,
Regina Spektor,Regina Ilyinichna Spektor,1980|2|18,Moscow,1997–present,| Vocals | piano | guitar,Regina Spektor,"<p class=""mw-empty-elt"">

</p>
<p><b>Regina Ilyinichna Spektor</b> (Russian: <span lang=""ru"">Регинa Ильинична Спектор</span>, <small>pronounced </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""ru-Latn-fonipa"">[rʲɪˈɡʲinə ˈspʲɛktər]</span>; born February 18, 1980) is a Russian–born American singer, songwriter, and pianist.</p><p>After self-releasing her first three records and gaining popularity in New York City's independent music scenes, particularly the anti-folk scene centered on New York City's East Village, Spektor signed with Sire Records in 2004 and began achieving greater mainstream recognition. After giving her third album a major label re-release, Sire released Spektor's fourth album, <i>Begin to Hope</i>, which achieved a Gold certification by the RIAA. Her following two albums, <i>Far</i> and <i>What We Saw from the Cheap Seats</i>, each debuted at number 3 on the <i>Billboard</i> 200. 2016's <i>Remember Us to Life</i> peaked at 23 on the <i>Billboard</i> 200.
</p><p>Mayor Bill de Blasio proclaimed June 11, 2019, Regina Spektor Day in New York City. Spektor was also inducted into the Bronx Walk of Fame on May 18, 2019, by Borough President Rubén Díaz Jr.</p>"
,,,,,,,
Phil Collins,Philip David Charles Collins,1951|1|30,London,,,Phil Collins,"<p class=""mw-empty-elt"">

</p>
<p><b>Philip David Charles Collins</b>  (born 30 January 1951) is an English singer, musician, songwriter, record producer and actor. He was the drummer and later lead singer of the rock band Genesis and also has a career as a solo performer. Between 1982 and 1990, Collins achieved three UK and seven US number one singles as a solo artist. When his work with Genesis, his work with other artists, as well as his solo career is totalled, he had more US top 40 singles than any other artist during the 1980s. His most successful singles from the period include ""In the Air Tonight"", ""Against All Odds (Take a Look at Me Now)"", ""One More Night"", and ""Another Day in Paradise"".
</p><p>Born and raised in west London, Collins played drums from the age of five and completed drama school training, which secured him various roles as a child actor, with his first major role, aged 13, as the Artful Dodger in the West End musical <i>Oliver!</i>. He then pursued a music career, joining Genesis in 1970 as their drummer and becoming lead singer in 1975 following the departure of Peter Gabriel. Collins began a successful solo career in the 1980s, initially inspired by his marital breakdown and love of soul music, releasing the albums <i>Face Value</i> (1981), <i>Hello, I Must Be Going</i> (1982), <i>No Jacket Required</i> (1985) and <i>...But Seriously</i> (1989). Collins became, in the words of AllMusic, ""one of the most successful pop and adult contemporary singers of the '80s and beyond"". He also became known for a distinctive gated reverb drum sound on many of his recordings. In 1985, he was the only artist to perform at both Live Aid concerts. He also resumed his acting career, appearing in <i>Miami Vice</i> and subsequently starring in the film <i>Buster</i> (1988). In 1996, Collins left Genesis to focus on solo work; this included writing songs for Disney's <i>Tarzan</i> (1999) for which he received an Oscar for Best Original Song for ""You'll Be in My Heart"". He rejoined Genesis for their Turn It On Again Tour in 2007. Following a five-year retirement to focus on his family life, Collins released an autobiography in 2016 and completed his Not Dead Yet Tour in 2019. He then rejoined Genesis in 2020 for a second reunion tour, ending in March 2022.
</p><p>Collins's discography includes eight studio albums that have sold 33.5 million certified units in the US and an estimated 150 million records sold worldwide, making him one of the world's best-selling artists. He is one of only three recording artists, along with Paul McCartney and Michael Jackson, who have sold over 100 million records both as solo artists and separately as principal members of a band. He has won eight Grammy Awards, six Brit Awards (winning Best British Male Artist three times), two Golden Globe Awards, one Academy Award, and a Disney Legend Award. He was awarded six Ivor Novello Awards from the British Academy of Songwriters, Composers and Authors, including the International Achievement Award. He received a star on the Hollywood Walk of Fame in 1999, and was inducted into the Songwriters Hall of Fame in 2003 and the Rock and Roll Hall of Fame as a member of Genesis in 2010. He has also been recognised by music publications with induction into the <i>Modern Drummer</i> Hall of Fame in 2012, and the <i>Classic Drummer</i> Hall of Fame in 2013.</p>"
,,,,,,,
M.I.A.,Mathangi Arulpragasam,1975|7|18,London,2000–present,* Vocals,M.I.A. (rapper),"<p class=""mw-empty-elt"">


</p>
<p><b>Mathangi </b>""<b>Maya</b>""<b> Arulpragasam</b>  (born 18 July 1975), known by her stage name <b>M.I.A.</b> (an initialism for both ""Missing in Action"" and ""Missing in Acton""), is a British rapper and singer. Her music combines elements of alternative, dance, electronic, hip hop and world music with electronic instruments and samples.
</p><p>Born in London to Sri Lankan Tamil parents, M.I.A. and her family moved to Jaffna in northern Sri Lanka when she was six months old. As a child, she experienced displacement caused by the Sri Lankan Civil War, which made the family return to London as refugees when M.I.A. was 11 years old; the war had a defining influence on M.I.A.'s artistry. She started out as a visual artist, filmmaker and designer in 2000, and began her recording career in 2002. One of the first acts to come to public attention through the Internet, she saw early fame as an underground artist in early 2004 with her singles ""Sunshowers"" and ""Galang"".
</p><p>M.I.A.'s first two albums, <i>Arular</i> (2005) and <i>Kala</i> (2007), received widespread critical acclaim for their fusion of hip hop, electronic, and world musics. The single ""Paper Planes"" from <i>Kala</i> reached number four on the US <i>Billboard</i> Hot 100 and sold over four million copies. Her third album <i>Maya</i> (2010) was preceded by the controversial single-short film ""Born Free"". <i>Maya</i> was her best-charting effort, reaching the top 10 on several charts. Her fourth studio album, <i>Matangi</i> (2013), included the single ""Bad Girls"", which won accolades at the MTV Video Music Awards. M.I.A. released her fifth studio album, <i>AIM</i>, in 2016. She scored her first <i>Billboard</i> Hot 100 number-one single as a featured artist on Travis Scott's ""Franchise"" (2020), and two years later, released her sixth studio album <i>Mata</i>, featuring lead single ""The One"".</p><p>M.I.A.'s accolades include two American Society of Composers, Authors and Publishers (ASCAP) awards and two MTV Video Music Awards. She is the first person of South Asian descent to be nominated for an Academy Award and Grammy Award in the same year. She was named one of the defining artists of the 2000s decade by <i>Rolling Stone</i>, and one of the 100 most influential people of 2009 by <i>Time</i>. <i>Esquire</i> ranked M.I.A. on its list of the 75 most influential people of the 21st century. According to <i>Billboard</i>, she was one of the ""Top 50 Dance/Electronic Artists of the 2010s"". M.I.A. was appointed Member of the Order of the British Empire (MBE) in the 2019 Birthday Honours for her services to music.</p>"
,,,,,,,
Fergie,Stacy Ann Ferguson,1975|3|27,Hacienda Heights,1984–present,Vocals,Fergie (singer),"<p class=""mw-empty-elt"">

</p>
<p><b>Stacy Ann ""Fergie"" Ferguson</b> (born March 27, 1975), (<span></span>) is an American singer and rapper. She first achieved chart success as part of the hip hop group the Black Eyed Peas. Her debut solo album, <i>The Dutchess</i> (2006), saw commercial success and spawned three <i>Billboard</i> Hot 100 number one singles: ""London Bridge"", ""Glamorous"", and ""Big Girls Don't Cry"". Although she vocally incorporates rapping into some of her performances, she does not consider herself a rapper.</p><p>Fergie was originally a member of the children's television series <i>Kids Incorporated</i> and the girl group Wild Orchid. In 2001, she left the group and in the subsequent year joined the Black Eyed Peas. She worked with the Black Eyed Peas on two albums before releasing her debut solo album, <i>The Dutchess</i>, in 2006. She continued her collaboration with the Black Eyed Peas and released a further two albums with them, <i>The E.N.D.</i> (2009) and <i>The Beginning</i> (2010). Her second solo album, <i>Double Dutchess</i>, was released in 2017.
</p><p>Fergie has additionally appeared in various films, including <i>Poseidon</i> (2006), <i>Grindhouse</i> (2007), and <i>Nine</i> (2009). She launched her first fragrance, <i>Outspoken</i>, under Avon in May 2010 and has since released four more fragrances. Her footwear line, Fergie Footwear, was launched in 2009.</p>


"
,,,,,,,
Michael Bublé,Michael Steven Bublé,1975|9|9,Burnaby,1994–present,Vocals,Michael Bublé,"<p class=""mw-empty-elt"">


</p>
<p><b>Michael Steven Bublé</b>  (<span><small>IPA: </small></span> <i title=""English pronunciation respelling"">boo-<span>BLAY</span></i>; born September 9, 1975) is a Canadian singer. A four-time Grammy Award winner, he is often credited for helping to renew public interest and appreciation for traditional pop standards and the Great American Songbook. His musical influences include Frank Sinatra, Dean Martin, Sammy Davis Jr., Tony Bennett, Nat King Cole, Bobby Darin, and Elvis Presley, and Sam Cooke.
</p><p>In 2003, Bublé's first album reached the top ten in Canada and the United Kingdom. He found a worldwide audience with his 2005 album <i>It's Time</i> and his 2007 album <i>Call Me Irresponsible</i> – which reached number one on the Canadian Albums Chart, the UK Albums Chart, the US <i>Billboard</i> 200, the Australian ARIA Albums Chart and several European charts. His 2009 album <i>Crazy Love</i> debuted at number one on the US <i>Billboard</i> 200 after three days of sales, and remained there for two weeks. It was also his fourth number one album on <i>Billboard</i>'s Top Jazz Albums chart. His 2011 holiday album, <i>Christmas</i>, was in first place on the <i>Billboard</i> 200 for the final four weeks of 2011 and the first week of 2012, totalling five weeks atop the chart, it also made the top 5 in the United Kingdom. With this, <i>Christmas</i> became his third-consecutive number-one album on the chart. <i>To Be Loved</i> was released in April 2013, followed by <i>Nobody but Me</i> in October 2016 and <i>Love</i> in November 2018.
</p><p>Bublé has sold over 75 million records worldwide, and won numerous awards, including four Grammy Awards and multiple Juno Awards. He resides in the Vancouver area with his wife and children.
</p>"
,,,,,,,
