Band,Type,Origin,Years Active,Page Title,Summary
Soundtrack,band,,,Soundtrack,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">

<p>A <b>soundtrack</b> is recorded music accompanying and synchronised to the images of a motion picture, drama, book, television program, radio program, or video game; a commercially released soundtrack album of music as featured in the soundtrack of a film, video, or television presentation; or the physical area of a film that contains the synchronised recorded sound.</p><p>In movie industry terminology usage, a sound track is an audio recording created or used in film production or post-production. Initially, the dialogue, sound effects, and music in a film each has its own separate track, and these are mixed together to make what is called the <i>composite track,</i> which is heard in the film. A <i>dubbing track</i> is often later created when films are dubbed into another language.  This is also known as an M&amp;E (music and effects) track. M&amp;E tracks contain all sound elements minus dialogue, which is then supplied by the foreign distributor in the native language of its territory.
</p><p>Current dictionary entries for soundtrack document soundtrack as a noun, and as a verb. An early attempt at popularizing the term “sound track” was printed in the magazine <i>Photoplay</i> in 1929. A 1992 technical dictionary entry in the <i>Academic Press Dictionary of Science and Technology</i> does not distinguish between the form sound track and soundtrack.</p><p>The contraction <b>soundtrack</b> came into public consciousness with the advent of so-called ""soundtrack albums"" in the late 1940s. First conceived by movie companies as a promotional gimmick for new films, these commercially available recordings were labeled and advertised as ""music from the original motion picture <i>soundtrack</i>"", or ""music from and inspired by the motion picture."" These phrases were soon shortened to just ""original motion picture <i>soundtrack</i>."" More accurately, such recordings are made from a film's <i>music track,</i> because they usually consist of isolated music from a film, not the composite (sound) track with dialogue and sound effects.
</p><p>The abbreviation <b>OST</b> is often used to describe the musical soundtrack on a recorded medium, such as CD, and it stands for <b>original soundtrack</b>; however, it is sometimes also used to differentiate the original music heard and recorded versus a rerecording or cover.
</p>


"
The Ataris,band,Anderson,1996–present,The Ataris,"<p class=""mw-empty-elt"">
</p>
<p><b>The Ataris</b> are an American punk rock band from Anderson, Indiana. Formed in 1996, they released five studio albums between 1997 and 2007. Their best-selling album is <i>So Long, Astoria</i> (2003), which was certified gold. Their high-charting single is the cover song ""The Boys of Summer"" from <i>So Long, Astoria</i>. The only constant member throughout their history has been singer/songwriter/guitarist Kristopher Roe.
</p>"
Delerium,band,Vancouver,1987–present,Delerium,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p><b>Delerium</b> is a Canadian new-age ambient electronic musical duo that formed in 1987, originally as a side project of the influential industrial music act Front Line Assembly. Throughout the band’s history, their musical style has encompassed a broad range, including dark ethereal ambient trance, voiceless industrial soundscapes, and electronic pop music. They are best known for their worldwide hit ""Silence"". The band is known to feature female guest vocalists on their albums since their 1994 album <i>Semantic Spaces</i>.
</p>

"
Rudimental,band,London Borough of Hackney,2009–present,Rudimental,"<p class=""mw-empty-elt"">

</p>
<p><b>Rudimental</b> are a British drum and bass band, signed to Asylum Records, Atlantic Records and Black Butter Records. The band consists of Piers Aggett, Kesi Dryden and Leon ""Locksmith"" Rolle.
</p><p>They were nominated for a Mercury Prize in 2013, and won several awards including the Brit Award, and the MOBO Award for Best Album. Rudimental also received nominations at the MTV Europe Music Awards for Best New Act, and Best UK and Ireland act. Rudimental has achieved multiple Platinum awards for record sales in several countries including in the United Kingdom and Australia.
</p><p>The band rose to prominence in 2012 when their single ""Feel the Love"", featuring singer John Newman, topped the UK Singles Chart, and for which they were also nominated for a BRIT Award in 2013. ""Feel the Love"" was also used for the opening credits of the 2013 documentary movie <i>Spark: A Burning Man Story</i>.
</p><p>The band have released further singles, including ""Not Giving In"", featuring Newman and Alex Clare, ""Waiting All Night"", featuring Ella Eyre which also topped the chart in the UK, ""Right Here"", featuring Foxes, ""Free"", featuring Emeli Sandé, and ""Powerless"", featuring Becky Hill. Rudimental were named by the BBC as the festival band of the summer. In 2013, Rudimental's debut studio album <i>Home</i> debuted at number one in the UK Albums Chart and was also nominated for a Mercury Music Prize.
</p>"
The Horrors,band,Southend-on-Sea,2005–present,The Horrors,"<p class=""mw-empty-elt"">

</p>
<p><b>The Horrors</b> are an English rock band formed in Southend-on-Sea in 2005, consisting of lead vocalist Faris Badwan, guitarist Joshua Hayward, keyboardist and synthesizer player Tom Furse, bassist Rhys Webb, and drummer and percussionist Joe Spurgeon. Their music has been classified as garage rock, garage punk, gothic rock, shoegaze and post-punk revival.</p><p>The band have released five studio albums: <i>Strange House</i> (2007), <i>Primary Colours</i> (2009), <i>Skying</i> (2011), <i>Luminous</i> (2014) and <i>V</i> (2017) all of which charted within the UK Top 40.</p>

"
Metro Station,band, [[Los Angeles,,Metro Station (band),"<p><b>Metro Station</b> was an American pop rock band that was formed in Los Angeles, California by singer Mason Musso and bassist/guitarist Trace Cyrus. In late 2006, the band signed a recording contract with Columbia Records and RED Ink Records. The band is best known for the top 10 <i>Billboard</i> hit single ""Shake It"" from the group's self-titled debut album. In 2010, tension between Cyrus and Musso caused the band to go on hiatus. In 2011, the band returned, however, it was announced that Cyrus was no longer a part of the group and Musso had purchased the rights to the name. An EP entitled <i>Middle of the Night</i> was released in 2013, which was led by the single ""Every Time I Touch You"". In 2014, Cyrus and a new drummer, Spencer Steffan, came to the band, and a new single entitled ""Love &amp; War"" was released. In 2015, the band released a second full-length album, titled <i>Savior</i>. After this, the band went on a U.S and European tour, announcing an EP called <i>Bury Me My Love</i> along with a U.S. 10-year anniversary tour. Just before the tour started, the band announced it would be their final tour and that they were breaking up. They reunited once again in 2019 and released the single ""I Hate Society"" in 2020.</p><p>The band is often described as a scene pop band due to the members' sense of fashion and the band's unique blend of various pop styles.
</p>

"
James Vincent McMorrow,band,Dublin,,James Vincent McMorrow,"<p class=""mw-empty-elt"">
</p>
<p><b>James Vincent McMorrow</b>  is an Irish singer and songwriter.
</p>
"
The Turtles,band,Los Angeles,* 1965–1970,The Turtles,"<p class=""mw-empty-elt"">
</p>
<p><b>The Turtles</b> are an American rock band formed in Los Angeles, California in 1965, best known for the 1967 hit song ""Happy Together"". They charted several other top 40 hits, including ""It Ain't Me Babe"" (1965), ""You Baby"" (1966), ""She'd Rather Be With Me"" (1967), ""Elenore"" (1968) and ""You Showed Me"" (1969).
</p><p>As the Turtles' commercial success waned by the end of the 1960s, they became plagued with management issues, lawsuits and conflicts with their label, White Whale Records, leading the group to break up in 1970. Kaylan and Volman later found long-lasting success as session musicians and reunited in 1983 under the name Flo &amp; Eddie, a comedy rock act. In 2010, a reconstituted version of the band, <b>the Turtles featuring Flo &amp; Eddie</b>, began performing live shows again.</p>"
Zebrahead,band,La Habra,1996–present,Zebrahead,"<p class=""mw-empty-elt"">
</p>
<p><b>Zebrahead</b> is an American rap-punk band from La Habra, California. Formed in 1996, the band has released thirteen studio albums to date.
</p>
"
Jack’s Mannequin,band,Orange County,"2004–2012, 2016",Jack's Mannequin,"<p><b>Jack's Mannequin</b> was an American rock band formed in 2004, hailing from Orange County, California. The band originally began as a solo project for Andrew McMahon, the frontman of Something Corporate.
</p><p>The band was signed to Maverick Records and released <i>Everything in Transit</i> in August 2005, peaking at 37 on the <i>Billboard</i> 200. <i>The Glass Passenger</i> was released in 2008 on Sire Records, sold 49,000 copies in its first week, and peaked at number eight on the <i>Billboard</i> 200.  <i>People and Things</i> was released October 4, 2011. Shortly afterward, it was announced that McMahon would discontinue releasing music under the name Jack's Mannequin, choosing to release music under his own name henceforth.
</p><p>On November 30, 2015, McMahon announced that he would reunite Jack's Mannequin for a tenth-anniversary tour of <i>Everything In Transit</i>.
</p>"
Antonín Dvořák,band,,,Antonín Dvořák,"<p class=""mw-empty-elt"">

</p>

<p><b>Antonín Leopold Dvořák</b> (<span></span> <i title=""English pronunciation respelling"">d(ə-<span>)VOR</span>-zha(h)k</i>; <small>Czech: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""cs-Latn-fonipa"">[ˈantoɲiːn ˈlɛopold ˈdvor̝aːk]</span> <span></span>; 8 September 1841 – 1 May 1904) was a Czech composer. Dvořák frequently employed rhythms and other aspects of the folk music of Moravia and his native Bohemia, following the Romantic-era nationalist example of his predecessor Bedřich Smetana. Dvořák's style has been described as ""the fullest recreation of a national idiom with that of the symphonic tradition, absorbing folk influences and finding effective ways of using them"".</p><p>Dvořák displayed his musical gifts at an early age, being an apt violin student from age six. The first public performances of his works were in Prague in 1872 and, with special success, in 1873, when he was 31 years old. Seeking recognition beyond the Prague area, he submitted a score of his First Symphony to a prize competition in Germany, but did not win, and the unreturned manuscript was lost until it was rediscovered many decades later. In 1874, he made a submission to the Austrian State Prize for Composition, including scores of two further symphonies and other works. Although Dvořák was not aware of it, Johannes Brahms was the leading member of the jury and was highly impressed. The prize was awarded to Dvořák in 1874 and again in 1876 and in 1877, when Brahms and the prominent critic Eduard Hanslick, also a member of the jury, made themselves known to him. Brahms recommended Dvořák to his publisher, Simrock, who soon afterward commissioned what became the <i>Slavonic Dances</i>, Op. 46. These were highly praised by the Berlin music critic Louis Ehlert in 1878, the sheet music (of the original piano 4-hands version) had excellent sales, and Dvořák's international reputation was launched at last.
</p><p>Dvořák's first piece of a religious nature, his setting of Stabat Mater, was premiered in Prague in 1880. It was very successfully performed in London in 1883, leading to many other performances in the United Kingdom and United States. In his career, Dvořák made nine invited visits to England, often conducting performances of his own works. His Seventh Symphony was written for London. Visiting Russia in March 1890, he conducted concerts of his own music in Moscow and Saint Petersburg. In 1891, Dvořák was appointed as a professor at the Prague Conservatory. In 1890–91, he wrote his <i>Dumky Trio</i>, one of his most successful chamber music pieces.
</p><p>In 1892, Dvořák moved to the United States and became the director of the National Conservatory of Music of America in New York City. The President of the National Conservatory of Music in America, Jeannette Thurber, offered Dvořák an annual salary of $15,000 – an incredibly lavish sum for the era (equivalent to $452,389 in 2021), twenty-five times what he was paid at the Prague Conservatory. While in the United States, Dvořák wrote his two most successful orchestral works: the Symphony <i>From the New World</i>, which spread his reputation worldwide, and his Cello Concerto, one of the most highly regarded of all cello concerti.
</p><p>In the summer of 1893, Dvořák moved from New York City to Spillville, Iowa, following the advice of his secretary, J.J. Kovarík. Dvořák had originally planned to come back to Bohemia, but Spillville was made up of mostly Czech immigrants, and thus he felt less homesick; Dvořák referred to it as his ""summer Vysoka."" This is where he wrote his most famous piece of chamber music, his String Quartet in F major, Op. 96, which was later nicknamed the <i>American Quartet</i>. Shortly after his time in Iowa, Dvořák extended his contract at the National Conservatory for another two years. However, the economic crisis of April 1893 resulted in Thurber's husband's loss of income, and directly influenced the National Conservatory's funding. Shortfalls in payment of his salary, along with increasing recognition in Europe and an onset of homesickness, led him to leave the United States and return to Bohemia in 1895.
</p><p>All of Dvořák's nine operas, except his first, have librettos in Czech and were intended to convey the Czech national spirit, as were some of his choral works. By far the most successful of the operas is <i>Rusalka</i>. Among his smaller works, the seventh <i>Humoresque</i> and the song ""Songs My Mother Taught Me"" are also widely performed and recorded. He has been described as ""arguably the most versatile... composer of his time"".</p><p>The Dvořák Prague International Music Festival is a major series of concerts held annually to celebrate Dvořák's life and works.</p>"
The Specials,band,Coventry,1977–1981|1982-1984|1993|1996–2001|2008–present,The Specials,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">

</p>
 
<p><b>The Specials</b>, also known as <b>The Special AKA</b>, are an English 2 tone and ska revival band formed in 1977 in Coventry. After some early changes, the first stable lineup of the group consisted of Terry Hall and Neville Staple on vocals, Jerry Dammers on keyboards, Lynval Golding and Roddy Radiation on guitars, Horace Panter on bass, John Bradbury on drums, and Dick Cuthell and Rico Rodriguez on horns.  Their music combines the danceable rhythms of ska and rocksteady with the energy and attitude of punk. Lyrically, their work (often written by primary songwriter Dammers) presented overt political and social commentary.
</p><p>The band wore mod-style ""1960s period rude boy outfits (pork pie hats, tonic and mohair suits and loafers)"". In 1980, the song ""Too Much Too Young"", the lead track on their <i>The Special AKA Live!</i> EP, reached No. 1 on the UK Singles Chart. In 1981, the recession-themed single ""Ghost Town"" also hit No. 1 in the UK. After seven consecutive UK top 10 singles between 1979 and 1981, main lead vocalists Hall and Staple, along with guitarist Golding, left to form Fun Boy Three. Continuing as ""The Special AKA"" (a name they used frequently on earlier Specials releases), a substantially revised Specials line-up issued new material until 1984, including the top 10 UK hit single ""Free Nelson Mandela"". After this, founder Jerry Dammers dissolved the band and pursued political activism. The group re-formed in 1993, and have continued to perform and record with varying line-ups, none of them involving Dammers.
</p>"
The Antlers,band,New York City,,The Antlers (band),"<p><b>The Antlers</b> is an American indie rock band based in Brooklyn, New York. The band's songs are written and sung by Peter Silberman. Their music is performed by Silberman and Michael Lerner (drums). The lineup formerly featured Darby Cicci (trumpet, upright/electric bass, keyboards, synths, vocals). The band's instrumentation typically consists of vocals, electric guitar, keyboards/synths, drums and an array of other instruments including piano, horns, strings, and electronic elements. Silberman has said that the band's name is taken from The Microphones' song ""Antlers"".
</p><p>As of 2021, the band has released six studio albums: <i>Uprooted</i> (2006), <i>In the Attic of the Universe</i> (2007), <i>Hospice</i> (2009), <i>Burst Apart</i> (2011), <i>Familiars</i> (2014) and <i>Green to Gold</i> (2021).
</p>

"
DragonForce,band,London,1999–present,DragonForce,"<p class=""mw-empty-elt"">


</p>
<p><b>DragonForce</b> are a British power metal band from London, England. The band was formed in 1999 by guitarists Herman Li and Sam Totman, and are known for their long and fast guitar solos, fantasy-themed lyrics and retro video game-influenced sound. DragonForce's current lineup comprises Li, Totman, vocalist Marc Hudson, drummer Gee Anzalone and bassist Alicia Vigil. The band have been through several lineup changes throughout their career; longtime members in vocalist ZP Theart, keyboardist Vadim Pruzhanov, drummer Dave Mackintosh and bassist Frédéric Leclercq are among the former members of the band.
</p><p>DragonForce has released eight studio albums, two live albums, one compilation album, one live DVD and one demo. Their third album, <i>Inhuman Rampage</i> (2005), was certified gold by the Recording Industry Association of America (RIAA) and the British Phonographic Industry (BPI); its lead single, ""Through the Fire and Flames"", is their best-known song, and was featured in several video games, including <i>Guitar Hero III: Legends of Rock</i>. The lead single from their fourth album, ""Heroes of Our Time"", was nominated for a Grammy Award in 2009. DragonForce has been referred to as one of the ""big four"" bands of power metal, along with Helloween, Blind Guardian, and Sabaton.</p>"
Phantogram,band,Greenwich (town),2007,Phantogram (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Phantogram</b> is an American music duo from Greenwich, New York, formed in 2007 and consisting of multi-instrumentalists and vocalists Sarah Barthel and Josh Carter.</p><p>The band define their music as electronic rock, dream pop, electronica and trip hop, and have described their sound as ""street beat, psych pop"". According to Carter, their music has ""lots of rhythms, swirling guitars, spacey keyboards, echoes, airy vocals"". Carter and Barthel were inspired by numerous artists including the Beatles, David Bowie, Cocteau Twins, J Dilla, the Flaming Lips, John Frusciante, Serge Gainsbourg, Madlib, Sonic Youth, Yes, Kevin Shields, and Prince.</p><p>They write and record in a remote barn in Upstate New York called Harmonie Lodge. The band has released four studio albums (<i>Eyelid Movies</i> in 2010, <i>Voices</i> in 2014, <i>Three</i> in 2016 and <i>Ceremony</i> in 2020), four EPs (<i>Phantogram</i> and <i>Running From the Cops</i> in 2009, <i>Nightlife</i> in 2011, <i>Phantogram</i> in 2013) and 10 singles.
</p>

"
Dexys Midnight Runners,band,Birmingham,"1978–1986, 2003–present",Dexys Midnight Runners,"<p class=""mw-empty-elt"">

</p>
<p><b>Dexys Midnight Runners</b> (currently officially <b>Dexys</b>, their former nickname, styled without an apostrophe) are an English pop rock band from Birmingham, with soul influences, who achieved major commercial success in the early to mid-1980s. They are best known in the UK for their songs ""Come On Eileen"" and ""Geno"", both of which peaked at No. 1 on the UK Singles Chart, as well as six other top-20 singles. ""Come On Eileen"" also topped the US <i>Billboard</i> Hot 100, and with extensive airplay on MTV they are associated with the Second British Invasion.</p><p>During the late 1970s and early 1980s, Dexys went through numerous personnel changes over the course of three albums and 13 singles, with only singer/songwriter/co-founder Kevin Rowland remaining in the band through all of the transitions and only Rowland and ""Big"" Jim Paterson (trombone) appearing on all of the albums. By 1985, the band consisted only of Rowland and long-standing members Helen O'Hara (violin) and Billy Adams (guitar). The band broke up in 1987, with Rowland becoming a solo artist. After two failed restart attempts, Dexys was reformed by Rowland in 2003 with new members, as well as a few returning members from the band's original lineup (known as Dexys Mark I). Dexys released their fourth album in 2012 and a fifth followed in 2016.
</p>"
Koop,band,Uppsala,1995–2008,Koop (band),"<p><b>Koop</b> was an electronic jazz duo from Sweden, consisting of Magnus Zingmark and Oscar Simonsson. Their music consists of mostly vocal jazz created by putting together thousands of different song samples and has been described as a blend between 1960s jazz, swing and Caribbean music. 
</p><p>Koop ended their collaboration in 2008, with Simonsson continuing to compose and tour under the name Koop Oscar Orchestra.
</p>"
Primus,band,El Sobrante,,Primus (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Primus</b> is an American rock band formed in El Sobrante, California in 1984. The band is currently composed of bassist/vocalist Les Claypool, guitarist Larry ""Ler"" LaLonde, and drummer Tim ""Herb"" Alexander. Primus originally formed in 1984 with Claypool and guitarist Todd Huth, later joined by drummer Jay Lane, though the latter two departed the band at the beginning of 1989, and were replaced by LaLonde and Alexander respectively.
</p><p>The ""classic"" lineup of Claypool, LaLonde and Alexander debuted with the live album <i>Suck on This</i>, which was self-released in 1989 on Claypool's label Prawn Song and reissued a year later by Caroline Records. Caroline also released Primus' debut studio album <i>Frizzle Fry</i> (1990), which was critically well received and its underground success led to interest from major record labels. Their second studio album and major-label debut <i>Sailing the Seas of Cheese</i> (1991), released through Interscope Records, launched the band into mainstream exposure, supported by their first charting single ""Jerry Was a Race Car Driver"" and receiving platinum certification within a decade after its release. Primus repeated its success with their next two albums, <i>Pork Soda</i> (1993) and <i>Tales from the Punchbowl</i> (1995), both charting in the top ten on the <i>Billboard</i> 200, and being certified platinum and gold respectively by the RIAA; the former album featured the band's top ten hit on the <i>Billboard</i> rock chart, ""My Name Is Mud"", while the latter's lead single ""Wynona's Big Brown Beaver"" has the distinction of being their only song to chart anywhere outside of North America.</p><p>Alexander left the band in 1996, and was replaced by Bryan ""Brain"" Mantia, with whom Primus recorded two more studio albums – <i>Brown Album</i> (1997) and <i>Antipop</i> (1999) – as well as the covers EP <i>Rhinoplasty</i> (1998) and the original theme song for the TV show <i>South Park</i>. The band went on hiatus in 2000 but resumed activity in 2003, reuniting with Alexander for the EP/DVD <i>Animals Should Not Try to Act Like People</i> and touring sporadically throughout the 2000s before Alexander once again left in 2010. Lane rejoined the band and appeared on their seventh studio album – and first in twelve years – <i>Green Naugahyde</i> (2011). Following Lane's departure in 2013, Alexander returned to the band once again and Primus has since recorded two more albums with him – <i>Primus &amp; the Chocolate Factory with the Fungi Ensemble</i> (2014) and <i>The Desaturating Seven</i> (2017) – as well as the EP <i>Conspiranoid</i> (2022).
</p><p>Primus is characterized by its irreverent, quirky approach to music distinguished by Claypool's bass-first songwriting style and eccentric lyrical themes. In 1993, Robert Christgau remarked: ""[Primus is] quite possibly the strangest top-10 band ever, and good for them.""</p>


"
Senses Fail,band,Ridgewood,2001–present,Senses Fail,"<p class=""mw-empty-elt"">
</p>
<p><b>Senses Fail</b> is an American rock band formed in Ridgewood, New Jersey, in 2001. Founded by vocalist James ""Buddy"" Nielsen, drummer Dan Trapp, guitarists Garrett Zablocki and Dave Miller, and bassist James Gill (replaced by Mike Glita shortly after); the band has seen many lineup changes, with Nielsen being the only consistent member.
</p><p>The band has released eight studio albums, <i>Let It Enfold You</i>, <i>Still Searching</i>, <i>Life Is Not a Waiting Room</i>, <i>The Fire</i>, <i>Renacer</i>, <i>Pull the Thorns from Your Heart</i>, <i>If There Is Light, It Will Find You</i>, and <i>Hell Is in Your Head</i>. In addition, the band has two EPs, <i>From the Depths of Dreams</i> and <i>In Your Absence</i> and one live album, <i>Joshua Tree.</i>
</p>"
Black Kids,band,Jacksonville,2006&ndash;present,Black Kids,"<p class=""mw-empty-elt"">
</p>
<p><b>Black Kids</b> are an American indie rock band. Formed in Jacksonville, Florida in 2006, the group consists of singer/guitarist Reggie Youngblood, keyboardists/backup singers Ali Youngblood and Dawn Watley, bassist Owen Holmes, and drummer Kevin Snow. The Black Kids' debut EP, <i>Wizard of Ahhhs</i>, received favorable critical response in 2007, and was followed by the <i>Partie Traumatic</i> album, which debuted at number five on the UK Albums Chart in July 2008.
</p>
"
Mew,band,Hellerup,1995–present,Mew (band),"<p><b>Mew</b> are a Danish alternative rock band, consisting of Jonas Bjerre (lead vocals), Johan Wohlert (bass) and Silas Utke Graae Jørgensen (drums). Johan Wohlert left the band in 2006 before the birth of his first child, but made a return in 2013 while the band were in the studio, before making his first live appearances since his departure in 2014. Guitarist Bo Madsen left the band in June 2015. This was confirmed in a statement on the band's official website on 1 July of the same year.</p><p>Whilst their music may be classified as indie and on occasion progressive rock, former guitarist Bo Madsen said ""I usually say we are 'indie stadium.' A mix between 'feelings' and 'thinking' is usually good.""</p>"
Gotan Project,band,Buenos Aires,1999&ndash;present,Gotan Project,"<p><b>Gotan Project</b> is a musical group based in Paris (France), consisting of musicians Eduardo Makaroff (Argentine), Philippe Cohen Solal (French) and Christoph H. Müller (Swiss), a former member of Touch El Arab.</p>"
First Aid Kit,band,Svedmyra,2007–present,First Aid Kit (band),"<p class=""mw-empty-elt"">
</p>
<p><b>First Aid Kit</b> is a Swedish folk duo consisting of the sisters Johanna and Klara Söderberg, born in 1990 and 1993, respectively. When performing live, they are accompanied by a drummer, a guitarist and a keyboard player. In 2008, they gained some Internet popularity for their cover of the Fleet Foxes' song ""Tiger Mountain Peasant Song"". <i>Rolling Stone</i> magazine chose their song ""Emmylou"" as the number 10 ""Single of the Year"" in 2012. They have released five albums, four EPs and several singles. In 2015, they were nominated for a Brit Award as one of the five best international groups. They were nominated again in 2019 and 2023.</p>"
Dixie Chicks,band,Dallas,1989–present,The Chicks,"<p class=""mw-empty-elt"">
</p>
<p><b>The Chicks</b> (previously known as <b>Dixie Chicks</b>) are an American country music band from Dallas, Texas. Since 1995, the band has consisted of Natalie Maines (lead vocals, guitar) and sisters Martie Maguire (vocals, fiddle, mandolin, guitar) and Emily Strayer (vocals, guitar, banjo, Dobro). Maguire and Strayer, both née Erwin, founded the band in 1989 in Dallas, Texas, with bassist Laura Lynch and vocalist and guitarist Robin Lynn Macy. They performed bluegrass and country music, busking and touring the bluegrass festival circuits and small venues for six years without attracting a major label. In 1992, Macy left and Lynch became the lead vocalist. 
</p><p>Upon signing with Monument Records Nashville in 1997 and replacing Lynch with Maines, the Chicks achieved success with their albums <i>Wide Open Spaces</i> (1998) and <i>Fly</i> (1999). After Monument closed its Nashville branch, the Chicks moved to Columbia Records for <i>Home</i> (2002). These albums achieved multi-platinum sales in the United States, Canada, and Australia, along with several charting singles on the American <i>Billboard</i> Hot Country Songs charts. ""There's Your Trouble"", ""Wide Open Spaces"", ""You Were Mine"", ""Cowboy Take Me Away"", ""Without You"", and a cover of Bruce Robison's ""Travelin' Soldier"" reached number one. The Chicks also reached number one on the Adult Contemporary chart with their 2002 cover of Fleetwood Mac's ""Landslide"".
</p><p>Days before the 2003 invasion of Iraq, Maines told a London audience that the Chicks did not endorse the war and were ashamed of US President George W. Bush being from Texas. The remarks triggered boycotts in the US and a backlash from fans. After a hiatus, the Chicks released <i>Taking the Long Way</i> in 2006, an album informed by the backlash. ""Not Ready to Make Nice"" became their biggest crossover single, reaching number four on the <i>Billboard</i> Hot 100. After another hiatus, Maguire and Strayer released an album in 2009 as the Court Yard Hounds. The Chicks reunited to tour in the 2010s. In 2020, they removed ""Dixie"" from their name, citing negative connotations, and released their first album in 14 years, <i>Gaslighter.</i>
</p><p>The Chicks have won 13 Grammy Awards, including five in 2007 for <i>Taking the Long Way,</i> which received the Grammy Award for Album of the Year, and its single ""Not Ready to Make Nice"", which received the Grammy Award for Record of the Year and the Grammy Award for Song of the Year. By July 2020, with 33 million certified albums sold and sales of 27.9 million albums in the US, the Chicks had become the best-selling all-woman band and best-selling country group in the US during the Nielsen SoundScan era (1991–present).</p>"
At the Drive‐In,band,El Paso,,At the Drive-In,"<p class=""mw-empty-elt"">
</p>
<p><b>At the Drive-In</b> is an American post-hardcore band from El Paso, Texas, formed in 1994. The band's most recent line-up consisted of Cedric Bixler-Zavala (vocals), Omar Rodríguez-López (guitar, vocals), Paul Hinojos (bass), Tony Hajjar (drums) and Keeley Davis (guitar, vocals).
</p><p>After several early line-up changes, the band solidified into a five-piece, consisting of Bixler-Zavala, Rodríguez-López, Jim Ward, Hinojos and Hajjar. At the Drive-In released three studio albums and five EPs before breaking up in 2001. Their third and final album before their split, 2000's <i>Relationship of Command</i>, received a number of accolades and is cited as a landmark of the post-hardcore genre. Following the breakup, Bixler-Zavala and Rodríguez-López formed the Mars Volta while Ward, Hinojos, and Hajjar formed Sparta; Hinojos would later join the Mars Volta.
</p><p>At the Drive-In reunited in January 2012 and played the 2012 Coachella Valley Music and Arts Festival, as well as the 2012 Lollapalooza Festival. In 2016, the band reunited for a second time, with guitarist and occasional lead vocalist Jim Ward no longer participating. He was replaced by Sparta's Keeley Davis. The band released their fourth studio album, <i>in•ter a•li•a</i>, in 2017. The band announced an indefinite hiatus in November 2018.</p>"
Frankie Goes to Hollywood,band,Liverpool,,Frankie Goes to Hollywood,"<p class=""mw-empty-elt"">

</p>
<p><b>Frankie Goes to Hollywood</b> were an English synth-pop band formed in Liverpool in 1980. The group's best-known line-up comprised Holly Johnson (vocals), Paul Rutherford (backing vocals), Peter Gill (drums, percussion), Mark O'Toole (bass guitar) and Brian Nash (guitar).
</p><p>The group's 1983 debut single ""Relax"" was banned by the BBC in 1984 while at number six in the charts and subsequently topped the UK Singles Chart for five consecutive weeks, going on to enjoy prolonged chart success throughout that year and ultimately becoming the seventh-best-selling UK single of all time. It also won the 1985 Brit Award for Best British Single. Their debut album, <i>Welcome to the Pleasuredome</i>, reached number one in the UK in 1984 with advanced sales of more than one million. After the follow-up success of ""Two Tribes"" and ""The Power of Love"", the group became only the second act in the history of the UK charts to reach number one with their first three singles; the first being fellow Liverpudlians Gerry and the Pacemakers in the 1960s. This record remained unbeaten until the Spice Girls achieved a six-single streak in 1996–1997.
</p><p>In 1985 the band won the Brit Award for British Breakthrough Act. Associated with the Second British Invasion of the US, they also received Grammy Award and MTV Video Music Award nominations for Best New Artist. Songwriters Johnson, Gill and O'Toole received the 1984 Ivor Novello Award from the British Academy of Songwriters, Composers, and Authors for Best Song Musically and Lyrically for ""Two Tribes"". In 2015, the song was voted by the British public as the nation's 14th-favourite 1980s number one in a poll for ITV.
</p>"
Sleigh Bells,band,Brooklyn,2008–present,Sleigh Bells (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Sleigh Bells</b> is an American musical duo based in Brooklyn, New York, formed in 2008 and consisting of vocalist Alexis Krauss and guitarist/producer Derek E. Miller. They became known for their overdriven style of noise pop, which incorporates elements from various genres including pop, hip hop, metal, and punk.</p><p>After signing to M.I.A.'s N.E.E.T. Recordings and the independent label Mom + Pop Music, Sleigh Bells released their debut album <i>Treats</i> (2010) to critical acclaim. They followed with <i>Reign of Terror</i> (2012), <i>Bitter Rivals</i> (2013), and <i>Jessica Rabbit</i> (2016). Their fifth album, <i>Texis</i>, was released in September 2021.
</p>"
